년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,1,11380631,신사1동,2637581,3748504000
2020,1,11380632,신사2동,2635300,1112351000
2020,1,11380640,증산동,2838450,2371134000
2020,1,11380650,수색동,3253972,927102000
2020,1,11380690,진관동,4070863,8382876000
2020,1,11410520,천연동,4197718,2113160000
2020,1,11410555,북아현동,4172659,2001557000
2020,1,11410565,충현동,3210231,2864095000
2020,1,11410585,신촌동,3331768,18819554000
2020,1,11410615,연희동,3383749,58018837000
2020,1,11410620,홍제1동,3459117,2550118000
2020,1,11410640,홍제3동,2807766,2967909000
2020,1,11410655,홍제2동,3664523,1442733000
2020,1,11410660,홍은1동,3093859,960793000
2020,1,11410685,홍은2동,2874442,2479277000
2020,1,11410690,남가좌1동,4622839,2680011000
2020,1,11410700,남가좌2동,3237719,3247342000
2020,1,11410710,북가좌1동,4005416,1580595000
2020,1,11410720,북가좌2동,2590646,2956584000
2020,1,11440555,아현동,5237419,346876238000
2020,1,11440565,공덕동,4047702,7167814000
2020,1,11440585,도화동,4217433,5836589000
2020,1,11440590,용강동,4787212,5749687000
2020,1,11440600,대흥동,3421062,3946316000
2020,1,11440610,염리동,4051438,16525250000
2020,1,11440630,신수동,4157605,2299332000
2020,1,11440655,서강동,4339738,4708914000
2020,1,11440660,서교동,3212258,44199701000
2020,1,11440680,합정동,3195027,7163092000
2020,1,11440690,망원1동,2802536,4660592000
2020,1,11440700,망원2동,2912810,2831968000
2020,1,11440710,연남동,2980162,5977257000
2020,1,11440720,성산1동,2814646,2897523000
2020,1,11440730,성산2동,3521472,7537798000
2020,1,11440740,상암동,4158486,14644284000
2020,1,11470510,목1동,5667672,218025600000
2020,1,11470520,목2동,3244963,5111755000
2020,1,11470530,목3동,3101712,5111823000
2020,1,11470540,목4동,3426858,4459225000
2020,1,11470550,목5동,5987821,9500235000
2020,1,11470560,신월1동,2227154,2464818000
2020,1,11470570,신월2동,2727225,2113441000
2020,1,11470580,신월3동,2152244,1973258000
2020,1,11470590,신월4동,2639083,1882895000
2020,1,11470600,신월5동,2615553,2425031000
2020,1,11470610,신월6동,2857257,1048556000
2020,1,11470611,신월7동,2343943,1922121000
2020,1,11470620,신정1동,5046256,3267998000
2020,1,11470630,신정2동,4725315,2929590000
2020,1,11470640,신정3동,3158844,3570895000
2020,1,11470650,신정4동,2609700,7872113000
2020,1,11470670,신정6동,5384412,2173895000
2020,1,11470680,신정7동,4094404,3184650000
2020,1,11500510,염창동,4127504,5141424000
2020,1,11500520,등촌1동,3322838,6318096000
2020,1,11500530,등촌2동,3352636,2314212000
2020,1,11500535,등촌3동,3403390,7788177000
2020,1,11500540,화곡1동,2485455,9169247000
2020,1,11500550,화곡2동,2385531,1668289000
2020,1,11500560,화곡3동,3132782,3991163000
2020,1,11500570,화곡4동,2423768,3645922000
2020,1,11500590,화곡본동,2398795,5243634000
2020,1,11500591,화곡6동,3040513,6379632000
2020,1,11500593,화곡8동,2473381,3592575000
2020,1,11500603,가양1동,3560388,50065267000
2020,1,11500604,가양2동,3065320,2899900000
2020,1,11500605,가양3동,3047051,499341000
2020,1,11500611,발산1동,3192517,13442127000
2020,1,11500615,우장산동,4135674,5910482000
2020,1,11500620,공항동,2896818,9767284000
2020,1,11500630,방화1동,3407916,5701647000
2020,1,11500640,방화2동,2708397,6459526000
2020,1,11500641,방화3동,3044446,1586249000
2020,1,11530510,신도림동,4380318,8765633000
2020,1,11530520,구로1동,3368067,2059414000
2020,1,11530530,구로2동,2453690,10045479000
2020,1,11530540,구로3동,2888444,805881338000
2020,1,11530550,구로4동,2617060,3740272000
2020,1,11530560,구로5동,3213284,8984428000
2020,1,11530595,가리봉동,2336331,1122039000
2020,1,11530720,고척1동,2972418,5196750000
2020,1,11530730,고척2동,2882639,2374627000
2020,1,11530740,개봉1동,2805757,3794178000
2020,1,11530750,개봉2동,3068971,2823472000
2020,1,11530760,개봉3동,2512790,2411410000
2020,1,11530770,오류1동,2574851,2848171000
2020,1,11530780,오류2동,2781178,3808965000
2020,1,11530790,수궁동,2682295,2133015000
2020,1,11530800,항동,3007261,474767000
2020,1,11545510,가산동,2567594,72736652000
2020,1,11545610,독산1동,3000453,9692360000
2020,1,11545620,독산2동,2251577,2179981000
2020,1,11545630,독산3동,2386851,3492317000
2020,1,11545640,독산4동,2255044,1983733000
2020,1,11545670,시흥1동,2757307,8224735000
2020,1,11545680,시흥2동,3181421,569141000
2020,1,11545690,시흥3동,2516251,1045619000
2020,1,11545700,시흥4동,2405620,984447000
2020,1,11545710,시흥5동,2375052,1413741000
2020,1,11560515,영등포본동,3286751,2655209000
2020,1,11560535,영등포동,3570107,23738910000
2020,1,11560540,여의동,5590853,160605224000
2020,1,11560550,당산1동,3536432,4244440000
2020,1,11560560,당산2동,4130932,8849660000
2020,1,11560585,도림동,3031484,2260503000
2020,1,11560605,문래동,4019445,8249223000
2020,1,11560610,양평1동,3508250,3954222000
2020,1,11560620,양평2동,3672088,5115602000
2020,1,11560630,신길1동,2780044,3034979000
2020,1,11560650,신길3동,3085442,2818049000
2020,1,11560660,신길4동,2717791,547133000
2020,1,11560670,신길5동,2656511,1053990000
2020,1,11560680,신길6동,2954616,3770847000
2020,1,11560690,신길7동,3616070,1972878000
2020,1,11560700,대림1동,2582442,2722811000
2020,1,11560710,대림2동,2686240,2258856000
2020,1,11560720,대림3동,2907933,5472959000
2020,1,11590510,노량진1동,3583099,7378950000
2020,1,11590520,노량진2동,2420761,3889104000
2020,1,11590530,상도1동,3875896,5542651000
2020,1,11590540,상도2동,3826699,3715838000
2020,1,11590550,상도3동,2575897,2745647000
2020,1,11590560,상도4동,2563258,1747763000
2020,1,11590605,흑석동,4224946,7310994000
2020,1,11590620,사당1동,2855173,6571674000
2020,1,11590630,사당2동,3884988,6832523000
2020,1,11590640,사당3동,3890035,2562979000
2020,1,11590650,사당4동,2844168,2005846000
2020,1,11590651,사당5동,3047661,561037000
2020,1,11590660,대방동,3524765,5340056000
2020,1,11590670,신대방1동,3845094,2515434000
2020,1,11590680,신대방2동,3340157,84733970000
2020,1,11620525,보라매동,2529995,12412383000
2020,1,11620545,청림동,3682775,1336583000
2020,1,11620565,성현동,3455108,1294623000
2020,1,11620575,행운동,2889475,5391205000
2020,1,11620585,낙성대동,3225725,6767860000
2020,1,11620595,청룡동,2768161,7537395000
2020,1,11620605,은천동,3063077,5153343000
2020,1,11620615,중앙동,2633493,5031878000
2020,1,11620625,인헌동,2783693,3265364000
2020,1,11620630,남현동,3234026,4520107000
2020,1,11620645,서원동,2412001,9460562000
2020,1,11620655,신원동,2403237,1615446000
2020,1,11620665,서림동,2530625,2132400000
2020,1,11620685,신사동,2430662,2922208000
2020,1,11620695,신림동,2434279,8185203000
2020,1,11620715,난향동,3262195,658671000
2020,1,11620725,조원동,2523192,4206957000
2020,1,11620735,대학동,2622408,6642213000
2020,1,11620745,삼성동,2593695,1591879000
2020,1,11620765,미성동,2676537,3395418000
2020,1,11620775,난곡동,2268676,2365451000
2020,1,11650510,서초1동,4769119,8178159000
2020,1,11650520,서초2동,5196131,161436469000
2020,1,11650530,서초3동,4678950,16479240000
2020,1,11650531,서초4동,6475383,33710923000
2020,1,11650540,잠원동,5458458,7615889000
2020,1,11650550,반포본동,5583021,1494580000
2020,1,11650560,반포1동,5338302,8544301000
2020,1,11650570,반포2동,6812331,1189220000
2020,1,11650580,반포3동,6140775,3667158000
2020,1,11650581,반포4동,5280483,20900618000
2020,1,11650590,방배본동,4856162,12293879000
2020,1,11650600,방배1동,4069239,5660759000
2020,1,11650610,방배2동,3864301,97215640000
2020,1,11650620,방배3동,4681587,3716533000
2020,1,11650621,방배4동,4557937,4669538000
2020,1,11650651,양재1동,4173236,9007293000
2020,1,11650652,양재2동,3222382,7028760000
2020,1,11650660,내곡동,4047063,1999641000
2020,1,11680510,신사동,5099915,32803237000
2020,1,11680521,논현1동,3277066,38160230000
2020,1,11680531,논현2동,3973993,21383078000
2020,1,11680545,압구정동,5808537,40708501000
2020,1,11680565,청담동,5010204,28357676000
2020,1,11680580,삼성1동,5098096,155614249000
2020,1,11680590,삼성2동,5055114,11061756000
2020,1,11680600,대치1동,7421305,9030569000
2020,1,11680610,대치2동,6017362,33673862000
2020,1,11680630,대치4동,4101144,44250807000
2020,1,11680640,역삼1동,3607265,917407112000
2020,1,11680650,역삼2동,5367397,528369463000
2020,1,11680655,도곡1동,5412484,20042405000
2020,1,11680656,도곡2동,6567504,33442615000
2020,1,11680660,개포1동,5336373,182527000
2020,1,11680670,개포2동,5195802,1834202000
2020,1,11680690,개포4동,3550527,3036353000
2020,1,11680700,세곡동,3885403,4712679000
2020,1,11680720,일원본동,5444886,2573780000
2020,1,11680730,일원1동,3022931,1795204000
2020,1,11680740,일원2동,4553185,1477790000
2020,1,11680750,수서동,3847379,45944215000
2020,1,11710510,풍납1동,3011150,1018664000
2020,1,11710520,풍납2동,3891704,4362579000
2020,1,11710531,거여1동,2789100,1701619000
2020,1,11710532,거여2동,3033238,2393965000
2020,1,11710540,마천1동,2435636,1436292000
2020,1,11710550,마천2동,2339431,3268006000
2020,1,11710561,방이1동,3970520,4564240000
2020,1,11710562,방이2동,2928271,13771668000
2020,1,11710566,오륜동,6095160,1991030000
2020,1,11710570,오금동,3510674,5204476000
2020,1,11710580,송파1동,3129216,6709053000
2020,1,11710590,송파2동,4370970,2802363000
2020,1,11710600,석촌동,2927911,8607043000
2020,1,11710610,삼전동,2779980,6350909000
2020,1,11710620,가락본동,3521561,7269782000
2020,1,11710631,가락1동,4973588,3834946000
2020,1,11710632,가락2동,3910198,5105017000
2020,1,11710641,문정1동,3568357,2973062000
2020,1,11710642,문정2동,4425648,21615192000
2020,1,11710646,장지동,3263464,3538485000
2020,1,11710647,위례동,4202887,3529272000
2020,1,11710650,잠실본동,3079387,15740717000
2020,1,11710670,잠실2동,6352641,2404328000
2020,1,11710680,잠실3동,5452682,5867665000
2020,1,11710690,잠실4동,6007987,1233617000
2020,1,11710710,잠실6동,5237775,18382923000
2020,1,11710720,잠실7동,6014516,303993000
2020,1,11740515,강일동,3073250,2932371000
2020,1,11740520,상일동,3690212,2198405000
2020,1,11740530,명일1동,3540203,5272778000
2020,1,11740540,명일2동,4514278,3966441000
2020,1,11740550,고덕1동,4618641,1883694000
2020,1,11740560,고덕2동,2465499,1539300000
2020,1,11740570,암사1동,2852157,5323582000
2020,1,11740580,암사2동,3688535,2254334000
2020,1,11740590,암사3동,4470889,1266286000
2020,1,11740600,천호1동,2473111,2235646000
2020,1,11740610,천호2동,2749741,95728324000
2020,1,11740620,천호3동,3165328,4204042000
2020,1,11740640,성내1동,3438376,4616615000
2020,1,11740650,성내2동,2824592,5944962000
2020,1,11740660,성내3동,2897346,5670773000
2020,1,11740685,길동,2840603,10301075000
2020,1,11740690,둔촌1동,3596734,23576000
2020,1,11740700,둔촌2동,3414406,3085277000
2020,2,11110515,청운효자동,3780222,2124000000
2020,2,11110530,사직동,5007768,39718859000
2020,2,11110540,삼청동,3442534,1909677000
2020,2,11110550,부암동,3647449,1186278000
2020,2,11110560,평창동,4504006,2468907000
2020,2,11110570,무악동,5136717,1783648000
2020,2,11110580,교남동,4616890,1362599000
2020,2,11110600,가회동,3479766,1474610000
