연도,분기,행정동_코드,행정동_코드_명,abs_q,프랜차이즈_점포_수,임대시세_per_m2,개업_점포_수,교통시설_수,의료시설_수,교육시설_수,상업시설_수,공공시설_수,임대료대비수익성,개업률_QoQ_diff,개업률_YoY_diff,개업률_diff_roll4,추정매출액_QoQ_diff,추정매출액_YoY_diff,추정매출액_diff_roll4,총_유동인구_수_QoQ_diff,총_유동인구_수_YoY_diff,총_유동인구_수_diff_roll4,IS_RENT_MISSING,Y
2021,1,11170520,용산2가동,4,42,105657,18,30.0,4.0,5.0,0.0,3.0,114039.05953226004,-0.6499999999999999,-0.6400000000000001,-0.16000000000000003,796865974.0,3546898855.0,886724713.75,182410.0,85851.0,21462.75,0,-0.12620373289724748
2021,1,11170530,남영동,4,154,95138,31,29.0,14.0,1.0,12.0,12.0,430165.75864533626,-0.8300000000000001,-0.5500000000000003,-0.13750000000000007,4415682774.0,717961222.0,179490305.5,42027.0,-110552.0,-27638.0,0,0.5450481959568597
2021,1,11170555,청파동,4,147,98898,31,35.0,12.0,30.0,2.0,9.0,345592.35790410324,-0.16000000000000014,-1.13,-0.2825,6996652013.0,8756659201.0,2189164800.25,-359614.0,-876483.0,-219120.75,0,0.10203437042440534
2021,1,11170560,원효로1동,4,84,91343,27,31.0,6.0,5.0,4.0,9.0,1803855.5247254854,-1.57,-0.8800000000000001,-0.22000000000000003,-17839448290.0,-28133940157.0,-7033485039.25,-31406.0,-69000.0,-17250.0,0,0.43972854770883013
2021,1,11170570,원효로2동,4,45,102379,16,27.0,4.0,5.0,2.0,6.0,474031.2258568652,0.11999999999999988,-1.0,-0.25,-45325610698.0,-94705728677.0,-23676432169.25,46161.0,-86207.0,-21551.75,0,-0.2765492710164748
2021,1,11170580,효창동,4,28,154267,6,24.0,5.0,3.0,0.0,2.0,72066.7351280572,-2.74,-3.1800000000000006,-0.7950000000000002,1930210990.0,2689514633.0,672378658.25,73638.0,247799.0,61949.75,0,-0.8524784480169142
2021,1,11170590,용문동,4,40,105935,14,22.0,3.0,0.0,0.0,1.0,211638.14230424317,-1.6400000000000006,-0.7100000000000004,-0.1775000000000001,5802704302.0,7091177175.0,1772794293.75,63188.0,-28070.0,-7017.5,0,-0.10445001384386961
2021,1,11170625,한강로동,4,306,124851,115,48.0,21.0,3.0,10.0,38.0,7542462.412539748,-0.41000000000000014,-0.48999999999999977,-0.12249999999999994,-83465347492.0,80450766332.0,20112691583.0,238339.0,250311.0,62577.75,0,0.9109728855009079
2021,1,11170630,이촌1동,4,74,205197,10,14.0,13.0,5.0,1.0,13.0,158747.06493272318,-3.08,-1.9600000000000002,-0.49,1184346654.0,3267811490.0,816952872.5,-129077.0,-250465.0,-62616.25,0,-0.701668173461802
2021,1,11170640,이촌2동,4,21,73536,6,11.0,1.0,0.0,0.0,2.0,70627.90724271105,-2.68,-1.27,-0.3175,-826260832.0,910099416.0,227524854.0,-28566.0,-324467.0,-81116.75,0,-1.13862393483652
