연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,1,구로구,11530560,구로5동,33318,11530
2020,1,구로구,11530550,구로4동,25986,11530
2020,1,구로구,11530540,구로3동,26155,11530
2020,1,구로구,11530530,구로2동,34927,11530
2020,1,구로구,11530520,구로1동,21951,11530
2020,1,구로구,11530730,고척2동,28656,11530
2020,1,구로구,11530720,고척1동,24080,11530
2020,1,구로구,11530760,개봉3동,21894,11530
2020,1,구로구,11530750,개봉2동,32786,11530
2020,1,구로구,11530740,개봉1동,33402,11530
2020,1,구로구,11530595,가리봉동,15181,11530
2020,1,금천구,11545710,시흥5동,20755,11545
2020,1,금천구,11545700,시흥4동,22002,11545
2020,1,금천구,11545690,시흥3동,11466,11545
2020,1,금천구,11545680,시흥2동,22422,11545
2020,1,금천구,11545670,시흥1동,36362,11545
2020,1,금천구,11545640,독산4동,18110,11545
2020,1,금천구,11545630,독산3동,29724,11545
2020,1,금천구,11545620,독산2동,21225,11545
2020,1,금천구,11545610,독산1동,44572,11545
2020,1,금천구,11545510,가산동,24732,11545
2020,1,영등포구,11560515,영등포본동,24596,11560
2020,1,영등포구,11560535,영등포동,27692,11560
2020,1,영등포구,11560540,여의동,34736,11560
2020,1,영등포구,11560620,양평2동,22736,11560
2020,1,영등포구,11560610,양평1동,18168,11560
2020,1,영등포구,11560690,신길7동,20425,11560
2020,1,영등포구,11560680,신길6동,19294,11560
2020,1,영등포구,11560670,신길5동,11997,11560
2020,1,영등포구,11560660,신길4동,9873,11560
2020,1,영등포구,11560650,신길3동,18589,11560
2020,1,영등포구,11560630,신길1동,19670,11560
2020,1,영등포구,11560605,문래동,31981,11560
2020,1,영등포구,11560585,도림동,21423,11560
2020,1,영등포구,11560720,대림3동,28328,11560
2020,1,영등포구,11560710,대림2동,21101,11560
2020,1,영등포구,11560700,대림1동,16229,11560
2020,1,영등포구,11560560,당산2동,36430,11560
2020,1,영등포구,11560550,당산1동,21498,11560
2020,1,동작구,11590605,흑석동,35474,11590
2020,1,동작구,11590680,신대방2동,20636,11590
2020,1,동작구,11590670,신대방1동,26333,11590
2020,1,동작구,11590560,상도4동,29773,11590
2020,1,동작구,11590550,상도3동,25905,11590
2020,1,동작구,11590540,상도2동,29013,11590
