연도,분기,행정동_코드,행정동_코드_명,총_상주인구_수
2020,1,11230536,용신동,30305
2020,1,11230545,제기동,24854
2020,1,11230560,전농1동,30410
2020,1,11230570,전농2동,19572
2020,1,11230600,답십리1동,29395
2020,1,11230610,답십리2동,29929
2020,1,11230650,장안1동,38254
2020,1,11230660,장안2동,31159
2020,1,11230705,청량리동,21395
2020,1,11230710,회기동,10023
2020,1,11230720,휘경1동,12359
2020,1,11230730,휘경2동,24341
2020,1,11230740,이문1동,18947
2020,1,11230750,이문2동,20641
2020,1,11260520,면목2동,25638
2020,1,11260540,면목4동,19810
2020,1,11260550,면목5동,9571
2020,1,11260565,면목본동,35487
2020,1,11260570,면목7동,21358
2020,1,11260575,면목3?8동,26316
2020,1,11260580,상봉1동,25085
2020,1,11260590,상봉2동,19068
2020,1,11260600,중화1동,20687
2020,1,11260610,중화2동,26937
2020,1,11260620,묵1동,35850
2020,1,11260630,묵2동,19656
2020,1,11260655,망우본동,30726
2020,1,11260660,망우3동,17496
2020,1,11260680,신내1동,40663
2020,1,11260690,신내2동,21885
2020,1,11290525,성북동,16949
2020,1,11290555,삼선동,25380
2020,1,11290575,동선동,15400
2020,1,11290580,돈암1동,16140
2020,1,11290590,돈암2동,24943
2020,1,11290600,안암동,6285
2020,1,11290610,보문동,15008
2020,1,11290620,정릉1동,17650
2020,1,11290630,정릉2동,23575
2020,1,11290640,정릉3동,15642
2020,1,11290650,정릉4동,26266
2020,1,11290660,길음1동,36745
2020,1,11290685,길음2동,16356
2020,1,11290705,종암동,40147
2020,1,11290715,월곡1동,27401
2020,1,11290725,월곡2동,19758
2020,1,11290760,장위1동,20377
2020,1,11290770,장위2동,13716
2020,1,11290780,장위3동,11284
2020,1,11290810,석관동,32696
2020,1,11305534,삼양동,25278
2020,1,11305535,미아동,22316
2020,1,11305545,송중동,30218
2020,1,11305555,송천동,28173
2020,1,11305575,삼각산동,32809
2020,1,11305595,번1동,19255
2020,1,11305603,번2동,17027
2020,1,11305608,번3동,18250
2020,1,11305615,수유1동,21750
2020,1,11305625,수유2동,21833
2020,1,11305635,수유3동,23692
2020,1,11305645,우이동,21215
2020,1,11305660,인수동,32319
2020,1,11320511,창1동,26171
2020,1,11320512,창2동,30281
2020,1,11320513,창3동,14697
2020,1,11320514,창4동,27812
2020,1,11320515,창5동,25409
2020,1,11320521,도봉1동,22070
2020,1,11320522,도봉2동,26045
2020,1,11320660,쌍문1동,22086
2020,1,11320670,쌍문2동,19893
2020,1,11320680,쌍문3동,17046
2020,1,11320681,쌍문4동,19772
2020,1,11320690,방학1동,29724
2020,1,11320700,방학2동,20934
2020,1,11320710,방학3동,28734
2020,1,11350560,월계1동,23265
2020,1,11350570,월계2동,25870
2020,1,11350580,월계3동,31470
2020,1,11350595,공릉1동,38477
2020,1,11350600,공릉2동,40537
