연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11545710,시흥5동,790,22,30,68
2020,1,11560515,영등포본동,1451,60,37,121
2020,1,11560535,영등포동,4061,156,119,380
2020,1,11560540,여의동,5132,169,119,554
2020,1,11560550,당산1동,2284,98,57,139
2020,1,11560560,당산2동,1749,52,48,197
2020,1,11560585,도림동,698,25,19,41
2020,1,11560605,문래동,2562,103,58,216
2020,1,11560610,양평1동,1179,43,34,96
2020,1,11560620,양평2동,1452,66,46,126
2020,1,11560630,신길1동,856,21,22,63
2020,1,11560650,신길3동,715,26,18,45
2020,1,11560660,신길4동,314,4,10,32
2020,1,11560670,신길5동,323,12,11,28
2020,1,11560680,신길6동,961,26,23,73
2020,1,11560690,신길7동,519,22,11,54
2020,1,11560700,대림1동,789,21,24,64
2020,1,11560710,대림2동,1167,39,38,50
2020,1,11560720,대림3동,1497,49,43,78
2020,1,11590510,노량진1동,1670,68,54,218
2020,1,11590520,노량진2동,1592,29,35,58
2020,1,11590530,상도1동,1506,57,47,223
2020,1,11590540,상도2동,1154,48,37,126
2020,1,11590550,상도3동,744,31,23,53
2020,1,11590560,상도4동,755,28,21,74
2020,1,11590605,흑석동,1322,65,44,168
2020,1,11590620,사당1동,1435,66,40,131
2020,1,11590630,사당2동,1503,48,46,165
2020,1,11590640,사당3동,718,20,17,62
2020,1,11590650,사당4동,544,27,18,51
2020,1,11590651,사당5동,350,14,4,35
2020,1,11590660,대방동,1408,60,52,154
2020,1,11590670,신대방1동,827,35,26,60
2020,1,11590680,신대방2동,971,44,31,123
2020,1,11620525,보라매동,1262,77,42,100
2020,1,11620545,청림동,362,24,17,30
2020,1,11620565,성현동,592,28,28,53
2020,1,11620575,행운동,1267,51,49,128
2020,1,11620585,낙성대동,1217,62,45,157
2020,1,11620595,청룡동,1675,78,55,174
2020,1,11620605,은천동,1185,44,41,113
2020,1,11620615,중앙동,870,39,29,96
2020,1,11620625,인헌동,928,46,31,88
2020,1,11620630,남현동,792,41,34,96
2020,1,11620645,서원동,1254,56,47,210
2020,1,11620655,신원동,698,31,26,43
2020,1,11620665,서림동,714,29,29,65
2020,1,11620685,신사동,1097,51,38,83
2020,1,11620695,신림동,1687,66,76,165
2020,1,11620715,난향동,276,8,6,21
2020,1,11620725,조원동,1229,44,40,94
2020,1,11620735,대학동,1223,45,57,138
2020,1,11620745,삼성동,651,27,26,23
2020,1,11620765,미성동,1099,42,29,97
2020,1,11620775,난곡동,628,22,25,66
2020,1,11650510,서초1동,2936,85,76,198
2020,1,11650520,서초2동,3488,123,98,225
2020,1,11650530,서초3동,6464,250,159,352
2020,1,11650531,서초4동,3127,127,82,245
2020,1,11650540,잠원동,1951,71,57,135
2020,1,11650550,반포본동,599,15,20,36
2020,1,11650560,반포1동,1654,59,42,133
2020,1,11650570,반포2동,361,9,7,23
2020,1,11650580,반포3동,1142,39,29,75
2020,1,11650581,반포4동,3288,110,84,280
2020,1,11650590,방배본동,1365,41,36,96
2020,1,11650600,방배1동,1310,50,46,139
