연도,분기,행정동_코드,행정동_코드_명,당월_매출_금액
2020,1,11110680,창신2동,153025990
2020,1,11110680,창신2동,183074163
2020,1,11110680,창신2동,3526938
2020,1,11110680,창신2동,45686978
2020,1,11110680,창신2동,12526932
2020,1,11110680,창신2동,2300237530
2020,1,11110680,창신2동,522341836
2020,1,11110680,창신2동,40509316
2020,1,11110680,창신2동,308491374
2020,1,11110680,창신2동,92650801
2020,1,11110680,창신2동,183748405
2020,1,11110680,창신2동,6916109
2020,1,11110680,창신2동,637516439
2020,1,11110680,창신2동,51784968
2020,1,11110680,창신2동,28549524
2020,1,11110690,창신3동,113941298
2020,1,11110690,창신3동,38134572
2020,1,11110690,창신3동,22055435
2020,1,11110690,창신3동,29456952
2020,1,11110690,창신3동,87642650
2020,1,11110690,창신3동,8760548
2020,1,11110700,숭인1동,406958221
2020,1,11110700,숭인1동,29043574
2020,1,11110700,숭인1동,38810685
2020,1,11110700,숭인1동,51489243
2020,1,11110700,숭인1동,42059291
2020,1,11110700,숭인1동,1866667
2020,1,11110700,숭인1동,309774351
2020,1,11110700,숭인1동,79744499
2020,1,11110700,숭인1동,237308110
2020,1,11110700,숭인1동,76555670
2020,1,11110700,숭인1동,11596175
2020,1,11110700,숭인1동,539802607
2020,1,11110700,숭인1동,1157325505
2020,1,11110700,숭인1동,71849661
2020,1,11110700,숭인1동,3229244
2020,1,11110700,숭인1동,456154358
2020,1,11110700,숭인1동,8145187
2020,1,11110700,숭인1동,5793643
2020,1,11110710,숭인2동,3011209594
2020,1,11110710,숭인2동,197605001
2020,1,11110710,숭인2동,24540983
2020,1,11110710,숭인2동,483112645
2020,1,11110710,숭인2동,49854586
2020,1,11110710,숭인2동,180712263
2020,1,11110710,숭인2동,235373612
2020,1,11110710,숭인2동,253482660
2020,1,11110710,숭인2동,262691349
2020,1,11110710,숭인2동,95764706
2020,1,11110710,숭인2동,2959740576
2020,1,11110710,숭인2동,33575666
2020,1,11110710,숭인2동,29138136
2020,1,11110710,숭인2동,352566199
2020,1,11110710,숭인2동,31140435
2020,1,11110710,숭인2동,109811184
2020,1,11110710,숭인2동,20096367
2020,1,11110710,숭인2동,19302887
2020,1,11110710,숭인2동,57170451
2020,1,11110710,숭인2동,337572788
2020,1,11110710,숭인2동,1536852948
2020,1,11110710,숭인2동,3111321211
2020,1,11110710,숭인2동,35690190
2020,1,11110710,숭인2동,189148
2020,1,11110710,숭인2동,673432765
2020,1,11110710,숭인2동,229227917
2020,1,11110710,숭인2동,3000640110
2020,1,11110710,숭인2동,93250834
2020,1,11110710,숭인2동,115994969
2020,1,11110710,숭인2동,7385976
2020,1,11110710,숭인2동,866809531
2020,1,11110710,숭인2동,112638319
2020,1,11110710,숭인2동,9823149
2020,1,11110710,숭인2동,34641902
2020,1,11110710,숭인2동,1109399145
