연도,분기,행정동_코드,행정동_코드_명,총_유동인구_수
2020,1,11230730,휘경2동,5213967
2020,1,11230740,이문1동,8943071
2020,1,11230750,이문2동,4975391
2020,1,11260520,면목2동,6953351
2020,1,11260540,면목4동,6022143
2020,1,11260550,면목5동,2418625
2020,1,11260565,면목본동,10926104
2020,1,11260570,면목7동,8016605
2020,1,11260575,면목38동,6999538
2020,1,11260580,상봉1동,5983454
2020,1,11260590,상봉2동,7656373
2020,1,11260600,중화1동,5958720
2020,1,11260610,중화2동,9411736
2020,1,11260620,묵1동,7766456
2020,1,11260630,묵2동,6062386
2020,1,11260655,망우본동,9805368
2020,1,11260660,망우3동,5049120
2020,1,11260680,신내1동,5581268
2020,1,11260690,신내2동,1991263
2020,1,11290525,성북동,4443145
2020,1,11290555,삼선동,10329237
2020,1,11290575,동선동,8815879
2020,1,11290580,돈암1동,3411635
2020,1,11290590,돈암2동,3083493
2020,1,11290600,안암동,5610971
2020,1,11290610,보문동,6563577
2020,1,11290620,정릉1동,5561288
2020,1,11290630,정릉2동,6095602
2020,1,11290640,정릉3동,2865894
2020,1,11290650,정릉4동,3802415
2020,1,11290660,길음1동,7269216
2020,1,11290685,길음2동,5019695
2020,1,11290705,종암동,11528475
2020,1,11290715,월곡1동,7491570
2020,1,11290725,월곡2동,7091382
2020,1,11290760,장위1동,6915046
2020,1,11290770,장위2동,6094547
2020,1,11290780,장위3동,3728914
2020,1,11290810,석관동,11196593
2020,1,11305534,삼양동,12189170
2020,1,11305535,미아동,8515342
2020,1,11305545,송중동,12895390
2020,1,11305555,송천동,13736946
2020,1,11305575,삼각산동,3582276
2020,1,11305595,번1동,8399030
2020,1,11305603,번2동,3563696
2020,1,11305608,번3동,4006974
2020,1,11305615,수유1동,7230831
2020,1,11305625,수유2동,7127664
2020,1,11305635,수유3동,11477637
2020,1,11305645,우이동,4325021
2020,1,11305660,인수동,9581326
2020,1,11320511,창1동,4977741
2020,1,11320512,창2동,9348813
2020,1,11320513,창3동,5292311
2020,1,11320514,창4동,3570538
2020,1,11320515,창5동,5307168
2020,1,11320521,도봉1동,3648124
2020,1,11320522,도봉2동,3337433
2020,1,11320660,쌍문1동,5498028
2020,1,11320670,쌍문2동,5314921
2020,1,11320680,쌍문3동,5387938
2020,1,11320681,쌍문4동,2998818
