연도,분기,NM,행정동_코드,전체,1층,1층외,영역_면적
2020,1,신촌동,11410585,137835,185528,90143,2720364
2020,1,쌍문1동,11320660,60959,60959,,1175774
2020,1,쌍문2동,11320670,69709,92455,46962,541193
2020,1,쌍문3동,11320680,70098,108548,31648,504805
2020,1,쌍문4동,11320681,76669,95068,58269,554868
2020,1,아현동,11440555,121691,153369,90012,744328
2020,1,안암동,11290600,80728,105593,55863,1379571
2020,1,암사1동,11740570,83260,104805,61716,735480
2020,1,암사2동,11740580,97898,125535,70262,2174329
2020,1,암사3동,11740590,96887,118212,75563,1799368
2020,1,압구정동,11680545,145685,207464,83906,2345057
2020,1,약수동,11140635,125584,185654,65513,486369
2020,1,양재1동,11650651,102871,128771,76970,5765358
2020,1,양재2동,11650652,85647,96567,74728,7562268
2020,1,양평1동,11560610,72955,92632,53278,974912
2020,1,양평2동,11560620,87389,106151,68628,2874596
2020,1,여의동,11560540,147067,198252,95882,8437543
2020,1,역삼1동,11680640,154746,169894,139598,2362133
2020,1,역삼2동,11680650,158450,196889,120011,1135029
2020,1,역촌동,11380625,76547,91025,62069,1157542
2020,1,연남동,11440710,116702,129145,104260,647438
2020,1,연희동,11410615,92705,107496,77915,2929172
2020,1,염리동,11440610,103924,145494,62355,491468
2020,1,염창동,11500510,87162,105542,68782,1732856
2020,1,영등포동,11560535,130682,125932,135432,1372094
2020,1,영등포본동,11560515,119088,100764,137411,846370
2020,1,오금동,11710570,71805,96984,46626,1648868
2020,1,오류1동,11530770,122701,168058,77344,727414
2020,1,오류2동,11530780,79643,102656,56631,3061018
2020,1,오륜동,11710566,255359,338165,172552,3085088
2020,1,옥수동,11200645,133437,157397,109477,1922027
2020,1,왕십리2동,11200520,83187,109989,56384,372425
2020,1,왕십리도선동,11200535,116356,132878,99835,710285
2020,1,용강동,11440590,140857,175327,106386,790602
2020,1,용답동,11200790,81000,107836,54164,2377148
2020,1,용문동,11170590,95578,119493,71663,277531
2020,1,용산2가동,11170520,81266,110562,51969,1966853
2020,1,용신동,11230536,80990,99452,62527,1618399
2020,1,우이동,11305645,66361,83913,48809,10587752
2020,1,우장산동,11500615,103002,129003,77001,1261588
2020,1,원효로1동,11170560,84008,101088,66929,589017
2020,1,원효로2동,11170570,79144,91145,67143,708975
2020,1,월계1동,11350560,103180,152772,53587,1107461
2020,1,월계2동,11350570,72705,72705,,2004785
2020,1,월계3동,11350580,115722,155292,76152,1168283
2020,1,월곡1동,11290715,68008,92364,43653,801757
2020,1,월곡2동,11290725,69560,97146,41975,1364901
2020,1,위례동,11710647,138903,188186,89619,2537372
2020,1,은천동,11620605,87681,124978,50385,776212
2020,1,을지로동,11140605,132399,180007,84791,611524
2020,1,응봉동,11200580,82050,92137,71963,553662
2020,1,응암1동,11380580,91036,116429,65643,1109863
2020,1,응암2동,11380590,90353,87781,92925,755247
2020,1,응암3동,11380600,75778,103424,48131,752773
2020,1,이문1동,11230740,99178,126852,71504,1039602
2020,1,이문2동,11230750,62270,92502,32037,723890
2020,1,이촌1동,11170630,186353,276639,96067,2872767
2020,1,이촌2동,11170640,73394,73394,,1205543
2020,1,이태원1동,11170650,172035,200018,144053,582899
2020,1,이태원2동,11170660,125322,137777,112866,874243
2020,1,이화동,11110640,134395,186631,82159,782395
2020,1,인수동,11305660,53607,66576,40638,2998011
2020,1,인헌동,11620625,90748,128995,52502,1089078
2020,1,일원1동,11680730,91481,138772,44190,953471
2020,1,일원2동,11680740,122458,161289,83628,1300290
2020,1,일원본동,11680720,158535,206664,110407,2354625
2020,1,자양1동,11215820,103772,117351,90194,568868
2020,1,자양2동,11215830,88084,96289,79879,1657523
2020,1,자양3동,11215840,128937,135911,121963,1196419
2020,1,자양4동,11215847,106808,143823,69793,1180023
2020,1,잠실2동,11710670,342843,482662,203023,2686850
2020,1,잠실3동,11710680,247613,226011,269215,1542643
2020,1,잠실4동,11710690,249427,328082,170772,780204
2020,1,잠실6동,11710710,199901,215616,184185,1508001
2020,1,잠실7동,11710720,159333,159333,,723486
2020,1,잠실본동,11710650,122017,170599,73435,1028997
2020,1,잠원동,11650540,120601,136538,104664,1756867
2020,1,장안1동,11230650,79567,98391,60743,1342167
2020,1,장안2동,11230660,72941,96224,49658,996640
2020,1,장위1동,11290760,42992,57937,28047,708546
2020,1,장위2동,11290770,62533,78088,46979,679894
2020,1,장위3동,11290780,68581,96175,40988,652601
2020,1,장지동,11710646,81422,107030,55813,1278355
2020,1,장충동,11140580,94992,109530,80455,1017925
2020,1,전농1동,11230560,77383,94184,60581,1126695
2020,1,전농2동,11230570,83350,100547,66153,977568
2020,1,정릉1동,11290620,62747,78144,47349,412365
2020,1,정릉2동,11290630,79594,95985,63202,1094889
2020,1,정릉3동,11290640,65154,89100,41208,3327126
2020,1,정릉4동,11290650,86753,123175,50330,3570914
2020,1,제기동,11230545,95687,129842,61533,1181705
2020,1,조원동,11620725,72910,97006,48813,666607
2020,1,종로1234가동,11110615,194883,259583,130183,2417171
2020,1,종로56가동,11110630,252383,271717,233048,603167
2020,1,종암동,11290705,79773,97690,61856,1404527
2020,1,중계1동,11350621,149972,221446,78498,623451
2020,1,중계23동,11350625,170124,244997,95250,919083
2020,1,중계4동,11350624,101133,130290,71976,1519449
2020,1,중계본동,11350619,85086,100159,70013,2183234
2020,1,중곡1동,11215740,76883,91230,62535,614505
2020,1,중곡2동,11215750,71289,87958,54619,545542
2020,1,중곡3동,11215760,67985,99027,36943,601866
2020,1,중곡4동,11215770,81422,114455,48389,2313468
2020,1,중림동,11140680,111125,135830,86420,484384
