"연도","분기","행정동_코드","행정동_코드_명","점포_수","유사_업종_점포_수","개업_점포_수","폐업_점포_수","프랜차이즈_점포_수","총_유동인구_수","총_상주인구_수","총_직장_인구_수","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수","추정매출액","전체","첫번째층","첫번째층외","영역_면적"
2020,1,"11290760","장위1동",590,626,25,11,36,6915046,20377,505,103,4,1,,,8,6,1,1,,,,,,,,,,,37,7386920636,42992,57937,28047,708546
2020,1,"11290770","장위2동",684,716,30,42,32,6094547,13716,770,89,3,2,,,11,1,3,,,,,,,,,,,1,27,10025021698,62533,78088,46979,679894
2020,1,"11290780","장위3동",413,447,16,9,34,3728914,11284,189,82,1,,,,5,1,2,1,,1,,1,,,,,,,39,5994202998,68581,96175,40988,652601
2020,1,"11290810","석관동",1275,1394,52,36,119,11196593,32696,2897,154,6,3,,,16,2,2,1,1,,,1,,2,,,,2,32,28378351704,68666,92037,45295,1705061
2020,1,"11305534","삼양동",618,678,13,15,60,12189170,25278,462,165,4,1,,,14,3,2,,1,,,,,,,,,3,34,14113279854,68855,82587,55123,924092
2020,1,"11305535","미아동",1120,1220,49,43,100,8515342,22316,1214,144,3,3,,1,14,,,,1,4,,,,,,,,1,28,32871043742,81506,90833,72178,841204
2020,1,"11305545","송중동",1561,1751,110,76,190,12895390,30218,1450,212,4,1,,2,18,4,2,,1,2,1,,1,,,,,,69,65214567973,90619,119878,61359,1075796
2020,1,"11305555","송천동",1273,1390,62,47,117,13736946,28173,926,164,9,5,,1,17,,1,2,2,,,2,,,,,,1,24,32205226909,77272,87131,67412,929913
2020,1,"11305575","삼각산동",633,709,27,28,76,3582276,32809,335,114,2,1,,,9,1,,1,1,1,,,,,,,,,36,9220110969,131515,126021,137008,621911
2020,1,"11305595","번1동",1234,1345,53,42,111,8399030,19255,2250,136,3,3,,1,14,1,1,1,,,,,1,,,,,,30,55151516953,76791,97625,55957,627036
2020,1,"11305603","번2동",305,324,10,10,19,3563696,17027,337,110,5,,,,7,1,,1,,,,,,1,,,,,54,5398437451,85545,80947,90143,974298
2020,1,"11305608","번3동",337,392,14,17,55,4006974,18250,207,95,3,1,,,8,,2,,,,,,,,,,,,37,11427076943,74752,100392,49113,1081177
2020,1,"11305615","수유1동",993,1043,32,33,50,7230831,21750,1218,153,4,2,,,12,,2,3,1,,,1,,,,,,1,40,30168718270,63815,96258,31372,1649963
2020,1,"11305625","수유2동",776,830,30,19,54,7127664,21833,1248,85,3,,,,12,3,,,,,,,,,,,,1,15,18184955878,107372,77366,137379,581617
2020,1,"11305635","수유3동",1854,2058,90,73,204,11477637,23692,3045,158,4,6,,1,16,,,1,,,,,1,,,,,1,30,58144079931,94522,106824,82220,745645
2020,1,"11305645","우이동",725,786,20,21,61,4325021,21215,1638,132,2,,,,7,1,,1,,2,,,,,,,,3,54,15027856664,66361,83913,48809,10587752
2020,1,"11305660","인수동",930,996,36,30,66,9581326,32319,3004,175,13,2,1,2,14,2,2,2,,5,,1,,,,,,,57,14618406421,53607,66576,40638,2998011
2020,1,"11320511","창1동",696,775,43,34,79,4977741,26171,837,94,3,2,,,7,1,1,2,1,,,,,,,,,1,28,24634398436,71656,90213,53098,1122171
2020,1,"11320512","창2동",829,893,27,25,64,9348813,30281,1231,95,3,,,1,8,1,1,,,,,,,,,,,,44,15804833512,65724,89858,41590,654442
2020,1,"11320513","창3동",572,604,19,22,32,5292311,14697,624,66,1,,,,7,1,2,,,,,1,,,,,,,25,11454140647,92028,92028,,655485
