연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11140645,청구동,3566241,1460297000,13868051715.0,525,17,8,35,3733581,34,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1894.0,73679.0,71725.0,75633.0,342571,both
2020,1,11140650,신당5동,3027979,1564668000,16032987910.0,728,30,25,48,4964450,65,4.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,768.0,126261.0,116037.0,136485.0,319706,both
2020,1,11140665,동화동,3621349,1516814000,14047169421.0,542,20,10,40,3091253,47,3.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1183.0,112150.0,126664.0,97637.0,327045,both
2020,1,11140670,황학동,3247840,2626087000,34123394811.0,1366,43,31,71,6199908,76,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,774.0,110439.0,130424.0,90455.0,328640,both
2020,1,11140680,중림동,4435938,2056023000,22907904727.0,704,21,26,69,2160290,77,3.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,3099.0,111125.0,135830.0,86420.0,484384,both
2020,1,11170510,후암동,3013677,1732947000,17179828118.0,782,35,29,44,4934169,80,6.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1640.0,86965.0,114071.0,59860.0,865892,both
2020,1,11170520,용산2가동,2540319,106812342000,8502126058.0,562,21,16,40,4934733,63,3.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,583.0,81266.0,110562.0,51969.0,1966853,both
2020,1,11170530,남영동,3183091,49379387000,40207148724.0,1278,38,41,154,2239022,147,7.0,5.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,26.0,16176.0,88997.0,116594.0,61400.0,1177788,both
2020,1,11170555,청파동,2608804,2393721000,25421733811.0,1192,44,38,137,8412857,128,7.0,2.0,0.0,1.0,11.0,0.0,2.0,2.0,4.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,3050.0,105309.0,143751.0,66867.0,886225,both
2020,1,11170560,원효로1동,4450695,2357769000,192903515352.0,1659,41,43,83,5302852,94,6.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2742.0,84008.0,101088.0,66929.0,589017,both
