연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11170590,용문동,15328709430,528,17,18,38,95578.0,119493.0,71663.0,277531,54,1.0,,,,3.0,,,,,,,,,,,,,,22.0,12234,2388.0,3276869
2020,1,11170625,한강로동,861233208336,4819,134,129,283,117751.0,138682.0,96820.0,2869816,242,19.0,19.0,,,21.0,,2.0,,1.0,,,5.0,3.0,2.0,,,,7.0,41.0,18270,42930.0,4958607
2020,1,11170630,이촌1동,29306609993,834,26,15,75,186353.0,276639.0,96067.0,2872767,102,4.0,9.0,,1.0,12.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,14.0,26203,5274.0,5421279
2020,1,11170640,이촌2동,4283594371,273,9,10,16,73394.0,73394.0,,1205543,26,2.0,,,,1.0,,,,,,,,,,,,,,11.0,8918,1547.0,1905419
2020,1,11170650,이태원1동,63426901975,1600,44,76,80,172035.0,200018.0,144053.0,582899,71,8.0,5.0,,,3.0,,1.0,,,,,3.0,,,,,,1.0,14.0,6879,22194.0,2497588
2020,1,11170660,이태원2동,10171484497,796,32,46,40,125322.0,137777.0,112866.0,874243,60,8.0,5.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,22.0,9285,1112.0,3396366
2020,1,11170685,한남동,66433883518,2171,109,69,128,125007.0,145118.0,104895.0,3031897,171,30.0,11.0,1.0,,13.0,3.0,1.0,,,,,3.0,,,,,,2.0,36.0,20545,35228.0,7252958
2020,1,11170690,서빙고동,2905162011,369,15,7,24,79215.0,73081.0,85350.0,2821948,61,15.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,21.0,14396,7218.0,2086802
2020,1,11170700,보광동,17889726906,749,32,28,41,87865.0,98935.0,76795.0,715096,70,4.0,1.0,,,8.0,1.0,,1.0,1.0,6.0,,,,,,,,,14.0,14393,565.0,4872737
2020,1,11200520,왕십리2동,8298283475,520,16,15,60,83187.0,109989.0,56384.0,372425,63,2.0,,,,5.0,1.0,1.0,,,,,,,,,,,1.0,18.0,17366,1070.0,5354686
2020,1,11200535,왕십리도선동,27889378148,1791,71,49,161,116356.0,132878.0,99835.0,710285,189,4.0,4.0,,2.0,20.0,2.0,2.0,,2.0,,,,,,,,,,26.0,27197,3787.0,5704385
2020,1,11200540,마장동,21092180804,2330,47,48,57,86683.0,117459.0,55906.0,1035276,111,6.0,5.0,,,8.0,2.0,2.0,2.0,,,,,,,,,,1.0,29.0,23348,6773.0,6324687
2020,1,11200550,사근동,28315761692,893,43,25,192,106842.0,139450.0,74235.0,1169216,128,5.0,3.0,1.0,,10.0,,2.0,1.0,2.0,52.0,,1.0,,,,,,2.0,34.0,11680,409.0,4373484
2020,1,11200560,행당1동,32974621652,1201,39,46,149,148575.0,139883.0,157268.0,573566,130,9.0,4.0,,2.0,13.0,1.0,1.0,,,,,1.0,1.0,,,,,4.0,30.0,16063,1608.0,5730530
2020,1,11200570,행당2동,11798135661,530,17,11,59,124586.0,167266.0,81905.0,457669,79,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,24582,9.0,4443791
2020,1,11200580,응봉동,1285725135,296,8,4,19,82050.0,92137.0,71963.0,553662,56,3.0,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,30.0,16162,583.0,3465866
