연도,분기,행정동_코드_명,행정동_코드,시세_전체,시세_1층,시세_1층외,영역_면적,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,폐업률,개업률,업종_밀도,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,집객시설_총계,총_유동인구_수,총_상주인구_수,총_직장인구_수
2020,1,길음1동,11290660,140523.0,157076.0,123971.0,797310,4462339.0,4269970000.0,8529794723.0,862,35,36,103,4.18,4.06,0.11,,,,,,,,,,,,,,,,,,,,,,7269216,36745,3041.0
2020,1,길음2동,11290685,111277.0,167971.0,54583.0,588002,3736133.0,4597660000.0,16976454697.0,1008,67,25,94,2.48,6.65,0.17,,,,,,,,,,,,,,,,,,,,,,5019695,16356,453.0
2020,1,낙성대동,11620585,108271.0,151355.0,65187.0,2262818,3225725.0,6767860000.0,34333022688.0,1217,62,45,157,3.7,5.09,0.05,,,,,,,,,,,,,,,,,,,,,,6308562,15845,5211.0
2020,1,난곡동,11620775,104208.0,150931.0,57484.0,972373,2268676.0,2365451000.0,11746349314.0,628,22,25,66,3.98,3.5,0.06,,,,,,,,,,,,,,,,,,,,,,6492676,28076,991.0
2020,1,난향동,11620715,83130.0,104132.0,62129.0,821397,3262195.0,658671000.0,3005342648.0,276,8,6,21,2.17,2.9,0.03,,,,,,,,,,,,,,,,,,,,,,1414011,16264,544.0
2020,1,남가좌1동,11410690,107912.0,152798.0,63025.0,475536,4622839.0,2680011000.0,8315626461.0,592,30,23,44,3.89,5.07,0.12,,,,,,,,,,,,,,,,,,,,,,2499766,16590,951.0
2020,1,남가좌2동,11410700,82940.0,109731.0,56149.0,783775,3237719.0,3247342000.0,17907095514.0,1133,45,36,117,3.18,3.97,0.14,,,,,,,,,,,,,,,,,,,,,,6412707,24921,1164.0
2020,1,남영동,11170530,88997.0,116594.0,61400.0,1177788,3183091.0,49379387000.0,40207148724.0,1278,38,41,154,3.21,2.97,0.11,,,,,,,,,,,,,,,,,,,,,,2239022,7846,16176.0
2020,1,남현동,11620630,110110.0,126785.0,93436.0,3281024,3234026.0,4520107000.0,19937047658.0,792,41,34,96,4.29,5.18,0.02,,,,,,,,,,,,,,,,,,,,,,5596371,18791,3384.0
2020,1,내곡동,11650660,112385.0,101799.0,122971.0,12708880,4047063.0,1999641000.0,6051821810.0,892,24,9,36,1.01,2.69,0.01,,,,,,,,,,,,,,,,,,,,,,2625456,18146,1650.0
2020,1,노량진1동,11590510,137708.0,192574.0,82842.0,1613446,3583099.0,7378950000.0,249170359692.0,1670,68,54,218,3.23,4.07,0.1,,,,,,,,,,,,,,,,,,,,,,8407997,32334,4261.0
2020,1,노량진2동,11590520,108186.0,122706.0,93666.0,600568,2420761.0,3889104000.0,406351589315.0,1592,29,35,58,2.2,1.82,0.27,,,,,,,,,,,,,,,,,,,,,,4979485,13036,4451.0
2020,1,녹번동,11380510,87193.0,106287.0,68099.0,1794215,3055864.0,3326229000.0,23804206028.0,1237,47,34,96,2.75,3.8,0.07,,,,,,,,,,,,,,,,,,,,,,7230508,37920,2744.0
2020,1,논현1동,11680521,128330.0,147847.0,108812.0,1258744,3277066.0,38160230000.0,240812409852.0,4146,170,142,297,3.42,4.1,0.33,,,,,,,,,,,,,,,,,,,,,,11093461,23122,40704.0
2020,1,논현2동,11680531,128256.0,146640.0,109871.0,1458524,3973993.0,21383078000.0,139120821878.0,4233,179,151,319,3.57,4.23,0.29,,,,,,,,,,,,,,,,,,,,,,11978744,21554,51265.0
2020,1,능동,11215780,101015.0,137075.0,64954.0,1092105,2846023.0,4266864000.0,17767351584.0,630,25,22,66,3.49,3.97,0.06,,,,,,,,,,,,,,,,,,,,,,2600331,11440,1369.0
2020,1,다산동,11140625,102327.0,114196.0,90459.0,523971,2679845.0,2796073000.0,27495067701.0,851,25,23,76,2.7,2.94,0.16,,,,,,,,,,,,,,,,,,,,,,4632750,14280,6255.0
2020,1,답십리1동,11230600,102206.0,150329.0,54083.0,788242,3538405.0,3520841000.0,20346260201.0,1132,48,31,87,2.74,4.24,0.14,,,,,,,,,,,,,,,,,,,,,,7189265,29395,2044.0
2020,1,답십리2동,11230610,70234.0,82414.0,58054.0,875745,3049260.0,4512602000.0,20141595517.0,1634,46,43,81,2.63,2.82,0.19,,,,,,,,,,,,,,,,,,,,,,8088878,29929,2483.0
2020,1,당산1동,11560550,73213.0,92233.0,54194.0,745305,3536432.0,4244440000.0,107875986829.0,2284,98,57,139,2.5,4.29,0.31,,,,,,,,,,,,,,,,,,,,,,7276008,20821,6754.0
2020,1,당산2동,11560560,106842.0,142867.0,70817.0,1581310,4130932.0,8849660000.0,41143480972.0,1749,52,48,197,2.74,2.97,0.11,,,,,,,,,,,,,,,,,,,,,,9120249,35448,11843.0
2020,1,대림1동,11560700,83803.0,103900.0,63706.0,498978,2582442.0,2722811000.0,22058749644.0,789,21,24,64,3.04,2.66,0.16,,,,,,,,,,,,,,,,,,,,,,3980979,12879,1494.0
2020,1,대림2동,11560710,119687.0,166807.0,72568.0,572540,2686240.0,2258856000.0,22124567006.0,1167,39,38,50,3.26,3.34,0.2,,,,,,,,,,,,,,,,,,,,,,4410033,12647,3767.0
2020,1,대림3동,11560720,76034.0,106735.0,45332.0,921696,2907933.0,5472959000.0,106149501943.0,1497,49,43,78,2.87,3.27,0.16,,,,,,,,,,,,,,,,,,,,,,7492464,22984,4922.0
2020,1,대방동,11590660,82306.0,109425.0,55187.0,1544903,3524765.0,5340056000.0,41124714742.0,1408,60,52,154,3.69,4.26,0.09,,,,,,,,,,,,,,,,,,,,,,6985044,39773,7997.0
2020,1,대조동,11380570,117618.0,127126.0,108110.0,851692,2535013.0,6317442000.0,50377099413.0,2180,102,81,176,3.72,4.68,0.26,,,,,,,,,,,,,,,,,,,,,,9611408,27641,2231.0
2020,1,대치1동,11680600,199981.0,278870.0,121091.0,809823,7421305.0,9030569000.0,67629151131.0,1151,41,46,123,4.0,3.56,0.14,,,,,,,,,,,,,,,,,,,,,,4954510,25282,16783.0
2020,1,대치2동,11680610,168948.0,183017.0,154878.0,1837367,6017362.0,33673862000.0,110644395685.0,3043,77,78,227,2.56,2.53,0.17,,,,,,,,,,,,,,,,,,,,,,6466310,38520,85188.0
2020,1,대치4동,11680630,149098.0,190759.0,107437.0,701081,4101144.0,44250807000.0,119363691863.0,3735,173,120,374,3.21,4.63,0.53,,,,,,,,,,,,,,,,,,,,,,9415915,20602,33175.0
2020,1,대학동,11620735,96130.0,119927.0,72332.0,8405183,2622408.0,6642213000.0,26144642161.0,1223,45,57,138,4.66,3.68,0.01,,,,,,,,,,,,,,,,,,,,,,6840776,24097,939.0
2020,1,대흥동,11440600,109730.0,147738.0,71722.0,858570,3421062.0,3946316000.0,34355046140.0,1314,68,41,135,3.12,5.18,0.15,,,,,,,,,,,,,,,,,,,,,,7518719,8723,3225.0
2020,1,도곡1동,11680655,140832.0,168905.0,112759.0,1050609,5412484.0,20042405000.0,53165560226.0,1294,43,28,100,2.16,3.32,0.12,,,,,,,,,,,,,,,,,,,,,,5605489,21755,31446.0
2020,1,도곡2동,11680656,135764.0,168648.0,102881.0,990763,6567504.0,33442615000.0,48049285813.0,1472,45,33,95,2.24,3.06,0.15,,,,,,,,,,,,,,,,,,,,,,4177660,34327,88264.0
