연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11590510,노량진1동,249170359692,3583099,7378950000,8407997,32334,4261.0,137708.0,192574.0,82842.0,1613446.0,180,1670,68,54,218
2020,1,11590520,노량진2동,406351589315,2420761,3889104000,4979485,13036,4451.0,108186.0,122706.0,93666.0,600568.0,72,1592,29,35,58
2020,1,11380510,녹번동,23804206028,3055864,3326229000,7230508,37920,2744.0,87193.0,106287.0,68099.0,1794215.0,148,1237,47,34,96
2020,1,11680521,논현1동,240812409852,3277066,38160230000,11093461,23122,40704.0,128330.0,147847.0,108812.0,1258744.0,300,4146,170,142,297
2020,1,11680531,논현2동,139120821878,3973993,21383078000,11978744,21554,51265.0,128256.0,146640.0,109871.0,1458524.0,240,4233,179,151,319
2020,1,11215780,능동,17767351584,2846023,4266864000,2600331,11440,1369.0,101015.0,137075.0,64954.0,1092105.0,47,630,25,22,66
2020,1,11140625,다산동,27495067701,2679845,2796073000,4632750,14280,6255.0,102327.0,114196.0,90459.0,523971.0,86,851,25,23,76
2020,1,11230600,답십리1동,20346260201,3538405,3520841000,7189265,29395,2044.0,102206.0,150329.0,54083.0,788242.0,124,1132,48,31,87
2020,1,11230610,답십리2동,20141595517,3049260,4512602000,8088878,29929,2483.0,70234.0,82414.0,58054.0,875745.0,108,1634,46,43,81
2020,1,11560550,당산1동,107875986829,3536432,4244440000,7276008,20821,6754.0,73213.0,92233.0,54194.0,745305.0,131,2284,98,57,139
2020,1,11560560,당산2동,41143480972,4130932,8849660000,9120249,35448,11843.0,106842.0,142867.0,70817.0,1581310.0,192,1749,52,48,197
2020,1,11560700,대림1동,22058749644,2582442,2722811000,3980979,12879,1494.0,83803.0,103900.0,63706.0,498978.0,81,789,21,24,64
2020,1,11560710,대림2동,22124567006,2686240,2258856000,4410033,12647,3767.0,119687.0,166807.0,72568.0,572540.0,86,1167,39,38,50
2020,1,11560720,대림3동,106149501943,2907933,5472959000,7492464,22984,4922.0,76034.0,106735.0,45332.0,921696.0,126,1497,49,43,78
2020,1,11590660,대방동,41124714742,3524765,5340056000,6985044,39773,7997.0,82306.0,109425.0,55187.0,1544903.0,199,1408,60,52,154
2020,1,11380570,대조동,50377099413,2535013,6317442000,9611408,27641,2231.0,117618.0,127126.0,108110.0,851692.0,205,2180,102,81,176
2020,1,11680600,대치1동,67629151131,7421305,9030569000,4954510,25282,16783.0,199981.0,278870.0,121091.0,809823.0,130,1151,41,46,123
2020,1,11680610,대치2동,110644395685,6017362,33673862000,6466310,38520,85188.0,168948.0,183017.0,154878.0,1837367.0,210,3043,77,78,227
2020,1,11680630,대치4동,119363691863,4101144,44250807000,9415915,20602,33175.0,149098.0,190759.0,107437.0,701081.0,159,3735,173,120,374
2020,1,11620735,대학동,26144642161,2622408,6642213000,6840776,24097,939.0,96130.0,119927.0,72332.0,8405183.0,283,1223,45,57,138
2020,1,11440600,대흥동,34355046140,3421062,3946316000,7518719,8723,3225.0,109730.0,147738.0,71722.0,858570.0,209,1314,68,41,135
2020,1,11680655,도곡1동,53165560226,5412484,20042405000,5605489,21755,31446.0,140832.0,168905.0,112759.0,1050609.0,142,1294,43,28,100
2020,1,11680656,도곡2동,48049285813,6567504,33442615000,4177660,34327,88264.0,135764.0,168648.0,102881.0,990763.0,118,1472,45,33,95
2020,1,11560585,도림동,11729878137,3031484,2260503000,5692338,18924,706.0,69993.0,93745.0,46241.0,585885.0,66,698,25,19,41
2020,1,11320521,도봉1동,35997727392,2275377,3452960000,3648124,22070,1718.0,66538.0,105544.0,27532.0,8451468.0,122,1115,37,34,91
2020,1,11320522,도봉2동,10091388484,2811820,2070702000,3337433,26045,748.0,70530.0,90561.0,50499.0,1119031.0,127,902,28,31,46
2020,1,11440585,도화동,38923137973,4217433,5836589000,5301231,18617,12438.0,137812.0,156659.0,118966.0,625018.0,144,1456,54,39,140
2020,1,11545610,독산1동,236694993731,3000453,9692360000,5306119,41180,11846.0,97860.0,94595.0,101125.0,2061921.0,217,2388,85,71,213
2020,1,11545620,독산2동,17119110406,2251577,2179981000,3439562,19428,1367.0,55292.0,84092.0,26493.0,617174.0,73,736,28,27,59
2020,1,11545630,독산3동,28154823172,2386851,3492317000,5759682,25155,3618.0,66196.0,84324.0,48067.0,934985.0,119,1328,37,31,82
2020,1,11545640,독산4동,15203659836,2255044,1983733000,4972002,16029,1482.0,87244.0,99794.0,74694.0,591045.0,64,666,25,19,59
2020,1,11290580,돈암1동,4659584795,3583117,983490000,3411635,16140,103.0,73653.0,,73653.0,488898.0,42,375,10,8,24
2020,1,11290590,돈암2동,4287833901,4297592,768520000,3083493,24943,431.0,,,,518335.0,88,439,23,11,35
2020,1,11290575,동선동,46017153273,2821008,9248991000,8815879,15400,2112.0,117529.0,158931.0,76127.0,724957.0,146,1850,76,76,253
2020,1,11140665,동화동,14047169421,3621349,1516814000,3091253,10843,1183.0,112150.0,126664.0,97637.0,327045.0,47,542,20,10,40
2020,1,11740700,둔촌2동,18196588552,3414406,3085277000,8380409,27648,2842.0,70079.0,91457.0,48702.0,1550455.0,129,1124,39,25,89
2020,1,11500520,등촌1동,64801666919,3322838,6318096000,5045151,23367,5201.0,101457.0,139494.0,63419.0,650741.0,95,1295,53,39,153
2020,1,11500530,등촌2동,7282103576,3352636,2314212000,4109846,21752,2566.0,93808.0,90672.0,96943.0,910666.0,58,533,18,11,49
