요청구,연도,분기,NM,GUBUN,전체,1층,1층외
종로구,2021,3,가회동,dong,141297.0,197728.0,84866.0
종로구,2021,3,종로1·2·3·4가동,dong,183267.0,240906.0,125629.0
종로구,2021,3,종로5·6가동,dong,240795.0,241447.0,240143.0
종로구,2021,3,이화동,dong,119564.0,164268.0,74860.0
종로구,2021,3,혜화동,dong,115716.0,149542.0,81890.0
종로구,2021,3,창신1동,dong,165932.0,205670.0,126193.0
종로구,2021,3,창신2동,dong,93485.0,116312.0,70659.0
종로구,2021,3,창신3동,dong,82695.0,97676.0,67715.0
종로구,2021,3,숭인1동,dong,84355.0,105313.0,63396.0
종로구,2021,3,숭인2동,dong,116492.0,141752.0,91232.0
종로구,2021,4,종로구,gu,177511.0,210992.0,144030.0
종로구,2021,4,청운효자동,dong,132428.0,182188.0,82669.0
종로구,2021,4,사직동,dong,149318.0,187502.0,111134.0
종로구,2021,4,삼청동,dong,168295.0,188341.0,148249.0
종로구,2021,4,부암동,dong,87651.0,89480.0,85822.0
종로구,2021,4,평창동,dong,88594.0,111215.0,65974.0
종로구,2021,4,무악동,dong,102842.0,110893.0,94791.0
종로구,2021,4,교남동,dong,193709.0,203643.0,183775.0
종로구,2021,4,가회동,dong,139380.0,194621.0,84138.0
종로구,2021,4,종로1·2·3·4가동,dong,188458.0,247960.0,128956.0
종로구,2021,4,종로5·6가동,dong,246370.0,249318.0,243423.0
종로구,2021,4,이화동,dong,119556.0,161691.0,77421.0
종로구,2021,4,혜화동,dong,119635.0,156655.0,82615.0
종로구,2021,4,창신1동,dong,175752.0,222657.0,128846.0
종로구,2021,4,창신2동,dong,100399.0,128725.0,72073.0
종로구,2021,4,창신3동,dong,87217.0,105273.0,69162.0
종로구,2021,4,숭인1동,dong,88107.0,110206.0,66009.0
종로구,2021,4,숭인2동,dong,128735.0,155856.0,101613.0
종로구,2022,1,종로구,gu,183433.0,215787.0,151079.0
종로구,2022,1,청운효자동,dong,129755.0,181103.0,78407.0
종로구,2022,1,사직동,dong,145664.0,185390.0,105938.0
종로구,2022,1,삼청동,dong,175042.0,185890.0,164194.0
종로구,2022,1,부암동,dong,88340.0,94506.0,82173.0
종로구,2022,1,평창동,dong,92288.0,115285.0,69292.0
종로구,2022,1,무악동,dong,105457.0,114202.0,96713.0
종로구,2022,1,교남동,dong,206719.0,218421.0,195017.0
종로구,2022,1,가회동,dong,142922.0,202364.0,83480.0
종로구,2022,1,종로1·2·3·4가동,dong,193808.0,253334.0,134283.0
종로구,2022,1,종로5·6가동,dong,261380.0,258320.0,264440.0
종로구,2022,1,이화동,dong,129072.0,173541.0,84604.0
종로구,2022,1,혜화동,dong,127588.0,165956.0,89220.0
종로구,2022,1,창신1동,dong,174189.0,217466.0,130913.0
종로구,2022,1,창신2동,dong,95290.0,126835.0,63746.0
종로구,2022,1,창신3동,dong,84071.0,97560.0,70581.0
종로구,2022,1,숭인1동,dong,96699.0,123120.0,70277.0
종로구,2022,1,숭인2동,dong,130864.0,159250.0,102478.0
종로구,2022,2,종로구,gu,198534.0,226443.0,170624.0
종로구,2022,2,청운효자동,dong,147878.0,212258.0,83498.0
종로구,2022,2,사직동,dong,162108.0,217048.0,107167.0
종로구,2022,2,삼청동,dong,161693.0,180283.0,143103.0
종로구,2022,2,부암동,dong,74155.0,93432.0,54879.0
종로구,2022,2,평창동,dong,110528.0,148983.0,72074.0
종로구,2022,2,무악동,dong,249448.0,249448.0,
종로구,2022,2,교남동,dong,203425.0,244185.0,162665.0
종로구,2022,2,가회동,dong,133865.0,189990.0,77740.0
종로구,2022,2,종로1·2·3·4가동,dong,201789.0,259160.0,144418.0
종로구,2022,2,종로5·6가동,dong,299121.0,283696.0,314545.0
종로구,2022,2,이화동,dong,178553.0,201957.0,155149.0
종로구,2022,2,혜화동,dong,147355.0,168585.0,126126.0
종로구,2022,2,창신1동,dong,187331.0,237234.0,137427.0
종로구,2022,2,창신2동,dong,104308.0,111575.0,97041.0
종로구,2022,2,창신3동,dong,74261.0,81483.0,67038.0
종로구,2022,2,숭인1동,dong,93260.0,117991.0,68528.0
종로구,2022,2,숭인2동,dong,136750.0,169093.0,104407.0
종로구,2022,3,종로구,gu,203586.0,230260.0,176913.0
종로구,2022,3,청운효자동,dong,142725.0,195183.0,90268.0
종로구,2022,3,사직동,dong,166024.0,228857.0,103192.0
종로구,2022,3,삼청동,dong,157572.0,194483.0,120661.0
종로구,2022,3,부암동,dong,93334.0,118701.0,67967.0
종로구,2022,3,평창동,dong,111164.0,123164.0,99164.0
종로구,2022,3,무악동,dong,163768.0,237267.0,90270.0
종로구,2022,3,교남동,dong,217880.0,288201.0,147558.0
종로구,2022,3,가회동,dong,147693.0,202463.0,92922.0
종로구,2022,3,종로1·2·3·4가동,dong,206819.0,263752.0,149885.0
종로구,2022,3,종로5·6가동,dong,297056.0,272298.0,321813.0
종로구,2022,3,이화동,dong,216799.0,216193.0,217405.0
종로구,2022,3,혜화동,dong,172307.0,209059.0,135555.0
종로구,2022,3,창신1동,dong,185260.0,212277.0,158243.0
종로구,2022,3,창신2동,dong,124606.0,102045.0,147167.0
종로구,2022,3,창신3동,dong,93762.0,133431.0,54093.0
종로구,2022,3,숭인1동,dong,141933.0,207813.0,76054.0
종로구,2022,3,숭인2동,dong,127581.0,165726.0,89436.0
종로구,2022,4,종로구,gu,195850.0,224889.0,166811.0
종로구,2022,4,청운효자동,dong,155797.0,224849.0,86744.0
종로구,2022,4,사직동,dong,173553.0,246659.0,100447.0
종로구,2022,4,삼청동,dong,168139.0,200614.0,135664.0
종로구,2022,4,부암동,dong,99441.0,122603.0,76278.0
종로구,2022,4,평창동,dong,121969.0,132186.0,111752.0
종로구,2022,4,무악동,dong,,,
종로구,2022,4,교남동,dong,200555.0,285647.0,115463.0
종로구,2022,4,가회동,dong,142796.0,197115.0,88478.0
종로구,2022,4,종로1·2·3·4가동,dong,192001.0,244442.0,139559.0
종로구,2022,4,종로5·6가동,dong,281017.0,263403.0,298631.0
종로구,2022,4,이화동,dong,185904.0,218797.0,153011.0
종로구,2022,4,혜화동,dong,179990.0,217056.0,142923.0
종로구,2022,4,창신1동,dong,180189.0,204278.0,156099.0
종로구,2022,4,창신2동,dong,101909.0,85444.0,118373.0
종로구,2022,4,창신3동,dong,,,
종로구,2022,4,숭인1동,dong,126031.0,193281.0,58780.0
종로구,2022,4,숭인2동,dong,124208.0,156963.0,91452.0
종로구,2023,1,종로구,gu,194714.0,221575.0,167852.0
종로구,2023,1,청운효자동,dong,151256.0,225252.0,77260.0
종로구,2023,1,사직동,dong,150227.0,209365.0,91088.0
종로구,2023,1,삼청동,dong,190228.0,226225.0,154231.0
종로구,2023,1,부암동,dong,107082.0,107082.0,
종로구,2023,1,평창동,dong,116535.0,,116535.0
종로구,2023,1,무악동,dong,,,
종로구,2023,1,교남동,dong,101769.0,,101769.0
종로구,2023,1,가회동,dong,147750.0,182265.0,113234.0
종로구,2023,1,종로1·2·3·4가동,dong,187156.0,245914.0,128398.0
종로구,2023,1,종로5·6가동,dong,286159.0,280661.0,291657.0
종로구,2023,1,이화동,dong,138022.0,167447.0,108598.0
종로구,2023,1,혜화동,dong,166815.0,197809.0,135821.0
종로구,2023,1,창신1동,dong,192102.0,195088.0,189117.0
종로구,2023,1,창신2동,dong,130739.0,158077.0,103402.0
종로구,2023,1,창신3동,dong,,,
종로구,2023,1,숭인1동,dong,133449.0,198071.0,68827.0
종로구,2023,1,숭인2동,dong,127058.0,140199.0,113917.0
종로구,2023,2,종로구,gu,197186.0,229859.0,164512.0
종로구,2023,2,청운효자동,dong,133334.0,206441.0,60228.0
종로구,2023,2,사직동,dong,141193.0,188607.0,93778.0
종로구,2023,2,삼청동,dong,169873.0,169873.0,
종로구,2023,2,부암동,dong,109504.0,109504.0,
종로구,2023,2,평창동,dong,126802.0,147356.0,106248.0
종로구,2023,2,무악동,dong,,,
종로구,2023,2,교남동,dong,,,
종로구,2023,2,가회동,dong,161368.0,219095.0,103642.0
종로구,2023,2,종로1·2·3·4가동,dong,189722.0,256505.0,122939.0
종로구,2023,2,종로5·6가동,dong,293452.0,297898.0,289006.0
종로구,2023,2,이화동,dong,127050.0,181404.0,72696.0
종로구,2023,2,혜화동,dong,153644.0,204479.0,102810.0
종로구,2023,2,창신1동,dong,201891.0,219762.0,184020.0
종로구,2023,2,창신2동,dong,112629.0,163443.0,61815.0
종로구,2023,2,창신3동,dong,,,
종로구,2023,2,숭인1동,dong,124675.0,165835.0,83515.0
종로구,2023,2,숭인2동,dong,133623.0,161002.0,106245.0
종로구,2023,3,종로구,gu,200889.0,236297.0,165481.0
종로구,2023,3,청운효자동,dong,129902.0,183894.0,75911.0
종로구,2023,3,사직동,dong,151294.0,196249.0,106339.0
종로구,2023,3,삼청동,dong,165382.0,165382.0,
종로구,2023,3,부암동,dong,113768.0,113768.0,
종로구,2023,3,평창동,dong,137094.0,144412.0,129776.0
종로구,2023,3,무악동,dong,,,
종로구,2023,3,교남동,dong,,,
종로구,2023,3,가회동,dong,156995.0,203272.0,110717.0
종로구,2023,3,종로1·2·3·4가동,dong,200890.0,281186.0,120594.0
종로구,2023,3,종로5·6가동,dong,293318.0,289720.0,296916.0
종로구,2023,3,이화동,dong,148132.0,203378.0,92887.0
종로구,2023,3,혜화동,dong,121059.0,149740.0,92378.0
종로구,2023,3,창신1동,dong,199763.0,241473.0,158052.0
종로구,2023,3,창신2동,dong,112995.0,166912.0,59078.0
종로구,2023,3,창신3동,dong,,,
종로구,2023,3,숭인1동,dong,108864.0,132531.0,85197.0
종로구,2023,3,숭인2동,dong,143780.0,180860.0,106699.0
종로구,2023,4,종로구,gu,201913.0,237218.0,166608.0
종로구,2023,4,청운효자동,dong,124821.0,176449.0,73193.0
종로구,2023,4,사직동,dong,153263.0,197574.0,108951.0
종로구,2023,4,삼청동,dong,171215.0,171215.0,
종로구,2023,4,부암동,dong,120284.0,120284.0,
종로구,2023,4,평창동,dong,121357.0,134264.0,108450.0
종로구,2023,4,무악동,dong,,,
종로구,2023,4,교남동,dong,,,
종로구,2023,4,가회동,dong,183172.0,243372.0,122973.0
종로구,2023,4,종로1·2·3·4가동,dong,202131.0,278121.0,126141.0
종로구,2023,4,종로5·6가동,dong,297493.0,295874.0,299112.0
종로구,2023,4,이화동,dong,147832.0,199466.0,96199.0
종로구,2023,4,혜화동,dong,119510.0,149060.0,89960.0
종로구,2023,4,창신1동,dong,201752.0,250732.0,152773.0
종로구,2023,4,창신2동,dong,120410.0,173746.0,67073.0
종로구,2023,4,창신3동,dong,,,
종로구,2023,4,숭인1동,dong,106034.0,131166.0,80902.0
종로구,2023,4,숭인2동,dong,143416.0,180462.0,106370.0
종로구,2024,1,종로구,gu,202740.0,236942.0,168539.0
종로구,2024,1,청운효자동,dong,154532.0,192600.0,116464.0
종로구,2024,1,사직동,dong,179307.0,219383.0,139232.0
종로구,2024,1,삼청동,dong,162297.0,162297.0,
종로구,2024,1,부암동,dong,126320.0,126320.0,
종로구,2024,1,평창동,dong,119281.0,120897.0,117665.0
종로구,2024,1,무악동,dong,,,
종로구,2024,1,교남동,dong,163590.0,163590.0,
종로구,2024,1,가회동,dong,160997.0,213749.0,108245.0
종로구,2024,1,종로1·2·3·4가동,dong,202376.0,275990.0,128763.0
종로구,2024,1,종로5·6가동,dong,296837.0,283103.0,310570.0
종로구,2024,1,이화동,dong,157791.0,206261.0,109321.0
종로구,2024,1,혜화동,dong,127014.0,160981.0,93047.0
종로구,2024,1,창신1동,dong,197138.0,279995.0,114282.0
종로구,2024,1,창신2동,dong,82212.0,102406.0,62018.0
종로구,2024,1,창신3동,dong,,,
종로구,2024,1,숭인1동,dong,108531.0,141196.0,75865.0
종로구,2024,1,숭인2동,dong,143763.0,208571.0,78955.0
종로구,2024,2,종로구,gu,195617.0,230674.0,160559.0
종로구,2024,2,청운효자동,dong,152054.0,188588.0,115520.0
