"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"세종",소계,소계,20.3,20.2,21.7,22.9,21.5,20.1,25.7,23.9,24.8,25.7
"세종",조치원,소계,15.6,16.7,17.8,19.5,19.7,18.4,20.7,21.8,23.1,24.3
"경기",소계,소계,11.4,10.8,10.7,10.3,10.5,10.5,10.7,10.6,10.7,10.4
"경기",고양시청,소계,14.4,11.1,9.5,8.3,8.3,8.3,11.6,12.1,10.9,9.9
"경기",광명철산,소계,8.6,8.0,6.6,6.6,10.3,9.7,10.2,9.3,8.2,8.2
"경기",광주시가지,소계,11.8,8.9,4.8,1.6,4.8,4.8,4.8,10.1,6.3,6.3
"경기",구리역,소계,9.9,8.4,7.6,7.6,7.6,8.7,8.7,10.7,10.7,12.9
"경기",기흥역,소계,14.0,14.0,24.2,15.0,14.3,14.3,14.3,13.7,13.7,13.7
"경기",김량장동,소계,8.2,10.1,8.5,7.6,8.0,7.5,7.5,8.3,7.6,8.1
"경기",단대오거리역,소계,6.8,7.5,5.1,5.8,5.2,5.9,5.9,5.2,5.9,5.2
"경기",동두천중앙로,소계,17.1,14.5,14.5,14.5,17.3,19.5,11.0,15.5,18.8,21.9
"경기",모란,소계,8.8,9.2,6.5,2.4,2.4,6.5,6.5,6.5,6.5,6.5
"경기",병점역,소계,8.4,8.9,8.9,10.7,10.7,9.2,9.7,9.7,9.7,12.7
"경기",부천역,소계,13.0,12.2,15.7,15.7,16.4,16.2,16.9,16.7,17.2,17.0
"경기",분당역세권,소계,10.0,10.7,7.9,6.7,6.1,6.1,5.4,5.4,5.9,3.8
"경기",성남구시가지,소계,4.1,3.5,4.3,3.5,2.5,1.8,1.8,2.4,2.4,2.4
"경기",수원역,소계,8.9,10.6,9.6,9.6,14.4,15.1,15.1,7.5,9.2,10.7
"경기",신장/지산/서정,소계,10.7,10.7,10.7,12.4,13.5,12.8,14.4,10.9,10.5,10.8
"경기",신천역,소계,13.0,13.0,13.0,13.0,11.4,8.1,8.8,8.1,8.1,8.1
"경기",아주대삼거리,소계,17.2,17.2,15.3,16.0,18.5,15.7,17.7,18.5,17.6,9.6
"경기",안성시장,소계,22.2,16.4,16.4,16.4,16.7,16.7,16.7,17.4,14.1,13.9
"경기",안양역,소계,14.4,14.7,13.4,11.3,11.3,11.4,13.4,14.1,13.0,12.6
"경기",여주시청,소계,15.0,8.5,8.5,6.2,6.9,7.8,7.8,4.5,4.5,4.5
"경기",영통역,소계,9.9,9.9,9.9,12.2,6.4,2.9,2.9,6.3,6.3,6.1
"경기",오산시청,소계,4.8,4.8,8.4,8.4,8.4,4.2,2.0,2.0,2.0,2.0
"경기",용인수지,소계,1.9,1.9,1.9,1.9,1.9,3.2,1.3,0.0,5.3,2.5
"경기",의정부역,소계,18.1,16.1,13.9,12.1,12.5,13.3,12.5,11.9,12.6,12.1
"경기",이천종합터미널,소계,11.6,11.6,9.5,9.3,8.1,11.2,9.8,9.6,9.6,8.9
"경기",인계동,소계,15.1,5.2,8.7,7.4,6.6,9.5,9.5,9.5,9.5,7.1
"경기",인덕원,소계,4.3,7.0,8.5,8.5,8.5,8.5,5.8,5.8,5.8,5.4
