지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11305645,우이동,77757,76323,83913,34001,50790,48809,2020,1
11305660,인수동,63580,68090,66576,38660,41540,40638,2020,1
11320,도봉구,109534,106292,100935,47048,47889,46416,2020,1
11320511,창1동,78693,85155,90213,46554,50364,53098,2020,1
11320512,창2동,95812,90010,89858,40464,42649,41590,2020,1
11320513,창3동,91038,95070,92028,52027,56439, ,2020,1
11320514,창4동,199274,206669,165312,62565,62516,64235,2020,1
11320515,창5동,149785,127430,128163,47304,45990,55909,2020,1
11320521,도봉1동,113787,117455,105544,37050,34124,27532,2020,1
11320522,도봉2동,95328,89753,90561,56195,51130,50499,2020,1
11320660,쌍문1동,83358,81798,60959, , , ,2020,1
11320670,쌍문2동,104458,99402,92455,45267,49022,46962,2020,1
11320680,쌍문3동,93748,106996,108548,49123,47561,31648,2020,1
11320681,쌍문4동,103478,92664,95068,52515,49703,58269,2020,1
11320690,방학1동,132908,120121,109778,59650,59408,44539,2020,1
11320700,방학2동,74675,80547,81573,23984,30453,29894,2020,1
11320710,방학3동,93518,81996,79830,39562,42246,44395,2020,1
11350,노원구,135390,135885,136970,70094,68921,70031,2020,1
11350560,월계1동,148021,145135,152772,43427,51213,53587,2020,1
11350570,월계2동,113826,83642,72705, , , ,2020,1
11350580,월계3동,163636,172907,155292,95451,87456,76152,2020,1
11350595,공릉1동,117557,117987,112986,47558,55701,56783,2020,1
11350600,공릉2동,130346,128258,134548,83412,71782,96186,2020,1
11350611,하계1동,107350,112099,104567,65271,76124,62147,2020,1
11350612,하계2동, , ,189839, , ,81632,2020,1
11350619,중계본동,109523,108955,100159,68608,63319,70013,2020,1
11350621,중계1동,179917,205520,221446,74715,76156,78498,2020,1
11350624,중계4동,110273,129290,130290,83149,71117,71976,2020,1
11350625,중계2·3동,282221,239022,244997,123491,105136,95250,2020,1
11350630,상계1동,129501,128680,136347,47554,47537,52335,2020,1
11350640,상계2동,163832,162140,163324,107131,102057,86348,2020,1
11350665,상계3·4동,80623,78933,86856,36194,40479,40859,2020,1
11350670,상계5동,92695,88279,88974,44044,41844,37787,2020,1
11350695,상계6·7동,181226,167059,172108,66943,67718,85484,2020,1
11350700,상계8동, ,131066,182386, , , ,2020,1
11350710,상계9동,133025,146774,184377,60786,57051,52289,2020,1
11350720,상계10동, , ,148789,47169,54461,62442,2020,1
11380,은평구,105636,105135,107123,69099,71218,72526,2020,1
11380510,녹번동,99077,98727,106287,56285,58045,68099,2020,1
11380520,불광1동,117333,120865,115758,64504,68181,64607,2020,1
11380530,불광2동,117915,120474,121774,51870,49751,78303,2020,1
11380551,갈현1동,132386,117894,108005,52341,55735,57665,2020,1
11380552,갈현2동,100543,102815,108852,51377,50719,47653,2020,1
11380560,구산동,73775,95730,103007,58943,57626,43884,2020,1
11380570,대조동,131421,127372,127126,106044,103533,108110,2020,1
11380580,응암1동,116653,116538,116429,78066,71438,65643,2020,1
11380590,응암2동,105829,87653,87781,99086,109367,92925,2020,1
11380600,응암3동,97013,101190,103424,58149,56627,48131,2020,1
11380625,역촌동,95446,95131,91025,69015,63830,62069,2020,1
11380631,신사1동,90568,85846,84368,46392,81804,73514,2020,1
11380632,신사2동,76291,73971,82622,79300,103712,95784,2020,1
11380640,증산동,74613,76088,102552,35478,38053,40502,2020,1
11380650,수색동,101606,88346,92054,59891,61596,53885,2020,1
11380690,진관동,119029,118110,116545,96715,100066,105998,2020,1
11410,서대문구,123293,125631,126994,75928,72402,72976,2020,1
11410520,천연동,117486,119084,127557,71771,69243,59820,2020,1
11410555,북아현동,96284,87626,104061,61384,65481,73132,2020,1
11410565,충현동,102869,120679,110312,85718,71100,81052,2020,1
11410585,신촌동,173241,177548,185528,94928,93765,90143,2020,1
11410615,연희동,108693,111028,107496,79904,72674,77915,2020,1
11410620,홍제1동,109014,141358,134221,47029,57921,102033,2020,1
11410640,홍제3동,118186,105618,108688,55690,58563,37078,2020,1
11410655,홍제2동,212912,194467,173398,60495,61011,49975,2020,1
11410660,홍은1동,82729,85120,73979,56465,53097,55309,2020,1
11410685,홍은2동,103878,100095,98888,55203,65978,57334,2020,1
11410690,남가좌1동,133210,140778,152798,62414,66425,63025,2020,1
11410700,남가좌2동,127157,118018,109731,73220,63997,56149,2020,1
11410710,북가좌1동,92840,90304,98085, ,63349,77363,2020,1
11410720,북가좌2동,93589,94961,93057,62890,49577,43646,2020,1
11440,마포구,140062,141578,143138,103115,104652,103387,2020,1
11440555,아현동,152935,159651,153369,102259,92996,90012,2020,1
11440565,공덕동,97620,93245,95283,81807,85917,79000,2020,1
11440585,도화동,181137,138942,156659,124228,130537,118966,2020,1
11440590,용강동,156460,190437,175327,77798,88942,106386,2020,1
11440600,대흥동,136781,144514,147738,74204,74511,71722,2020,1
11440610,염리동,122056,132735,145494,79082,71275,62355,2020,1
11440630,신수동,100058,99402,91125,60940,64274,64598,2020,1
11440655,서강동,151220,148660,147395,97341,99793,103884,2020,1
11440660,서교동,154854,154751,156598,117669,117243,113709,2020,1
11440680,합정동,147097,155150,159000,107165,115742,123579,2020,1
11440690,망원1동,134189,142085,138108,88412,84799,76212,2020,1
11440700,망원2동,109101,116953,123015,83560,89142,97680,2020,1
11440710,연남동,138813,132063,129145,99769,104328,104260,2020,1
11440720,성산1동,102902,106080,102437,84108,79079,71681,2020,1
11440730,성산2동,113312,126217,121125,75915,72348,68883,2020,1
11440740,상암동,178407,179431,194594,129855,131948,125734,2020,1
11470,양천구,119994,121866,117767,69540,67659,66494,2020,1
11470510,목1동,187285,187297,164926,98544,90311,94327,2020,1
11470520,목2동,109433,108047,112120,77825,73714,71980,2020,1
11470530,목3동,119322,132359,121981,69694,57374,61307,2020,1
11470540,목4동,112013,111784,111534,51427,54508,52733,2020,1
11470550,목5동,204653,220708,206114,89785,88226,88483,2020,1
11470560,신월1동,104127,95224,98129,35604,33991,34774,2020,1
11470570,신월2동,102394,97354,88723,44880,41525,43494,2020,1
11470580,신월3동,69948,64728,66646,51156,48013,42736,2020,1
11470590,신월4동,77374,80132,85973,48234,48849,43490,2020,1
11470600,신월5동,75713,81177,81476,30949,44737,39582,2020,1
11470610,신월6동,95290,88739,91783,36473,47670,47728,2020,1
11470611,신월7동,98926,98308,94838,44213,46611,43289,2020,1
11470620,신정1동,119234,117010,112028,48769,49079,53538,2020,1
11470630,신정2동,132239,124187,107798,90966,86958,88246,2020,1
11470640,신정3동,148030,146531,136244,54012,56054,52217,2020,1
11470650,신정4동,94711,101546,101246,61553,62063,58362,2020,1
11470670,신정6동,182922,184136,186619,108865,100325,92425,2020,1
11470680,신정7동,159610,173109,166928,83871,82983,77503,2020,1
11500,강서구,131068,129420,129030,72972,75243,75464,2020,1
11500510,염창동,112650,110663,105542,62488,74846,68782,2020,1
11500520,등촌1동,99949,132018,139494,59330,56709,63419,2020,1
11500530,등촌2동,101371,98491,90672,42624,83496,96943,2020,1
11500535,등촌3동,148613,136670,151720,65075,76519,97406,2020,1
11500540,화곡1동,109205,108277,96331,63542,54412,54541,2020,1
11500550,화곡2동,87434,82327,81370,89310,50291,31220,2020,1
11500560,화곡3동,122063,123746,133359,77090,68661,64348,2020,1
