행정구역,2022_4Q_전체,2022_4Q_1층,2022_4Q_1층외,2023_1Q_전체,2023_1Q_1층,2023_1Q_1층외,2023_2Q_전체,2023_2Q_1층,2023_2Q_1층외
면목2동,60626.0,85630.0,35622.0,57885.0,78034.0,37736.0,63976.0,86284.0,41667.0
면목4동,77119.0,102271.0,51966.0,69811.0,93269.0,46352.0,70847.0,82811.0,58883.0
면목5동,92499.0,117434.0,67564.0,105363.0,136738.0,73988.0,60428.0,84445.0,36411.0
면목본동,95041.0,122765.0,67317.0,86921.0,116177.0,57665.0,84440.0,118336.0,50543.0
면목7동,96054.0,124869.0,67240.0,103594.0,112341.0,94847.0,85500.0,108324.0,62676.0
면목3·8동,102791.0,102841.0,102741.0,78031.0,101331.0,54731.0,79004.0,100242.0,57765.0
상봉1동,83753.0,116170.0,51335.0,92004.0,125997.0,58011.0,86493.0,104799.0,68187.0
상봉2동,87221.0,106659.0,67784.0,92433.0,119993.0,64873.0,104621.0,142082.0,67160.0
중화1동,74934.0,91703.0,58164.0,63389.0,80602.0,46176.0,67096.0,76505.0,57687.0
중화2동,88913.0,123515.0,54310.0,89744.0,116573.0,62915.0,86702.0,117226.0,56179.0
묵1동,107659.0,137320.0,77997.0,107929.0,125217.0,90640.0,94605.0,102289.0,86921.0
묵2동,68565.0,88351.0,48779.0,90760.0,93037.0,88484.0,91362.0,88889.0,93834.0
망우본동,80149.0,96462.0,63836.0,84653.0,99898.0,69409.0,81912.0,98381.0,65444.0
망우3동,66444.0,92978.0,39911.0,63841.0,94490.0,33191.0,59785.0,90898.0,28671.0
신내1동,104376.0,117243.0,91508.0,88356.0,109830.0,66882.0,92683.0,118992.0,66375.0
신내2동,102036.0,142927.0,61144.0,95319.0,144238.0,46401.0,85338.0,130046.0,40631.0
성북구,102762.0,118859.0,86665.0,101887.0,122808.0,80965.0,99996.0,121200.0,78792.0
성북동,99026.0,107393.0,90658.0,111305.0,138270.0,84339.0,96928.0,127660.0,66197.0
삼선동,106558.0,125054.0,88061.0,97454.0,126134.0,68775.0,93260.0,131978.0,54542.0
동선동,113708.0,131876.0,95541.0,107565.0,142748.0,72382.0,123332.0,148466.0,98197.0
돈암1동,128049.0,128049.0,,134798.0,134798.0,,,,
돈암2동,,,,141219.0,,141219.0,113866.0,,113866.0
안암동,123520.0,159075.0,87966.0,120892.0,157211.0,84573.0,110865.0,143134.0,78596.0
보문동,99525.0,111324.0,87726.0,90225.0,116386.0,64064.0,91134.0,123769.0,58498.0
정릉1동,111151.0,139700.0,82602.0,100930.0,132860.0,69000.0,91286.0,107236.0,75337.0
정릉2동,107450.0,124468.0,90431.0,99432.0,120089.0,78774.0,110284.0,111081.0,109487.0
정릉3동,91189.0,91189.0,,66624.0,95300.0,37947.0,80292.0,80292.0,
정릉4동,87493.0,133551.0,41436.0,102011.0,147239.0,56783.0,83062.0,116846.0,49279.0
길음1동,158724.0,155582.0,161866.0,158453.0,151967.0,164940.0,146490.0,149284.0,143697.0
길음2동,99873.0,100962.0,98784.0,137994.0,152183.0,123806.0,161273.0,201764.0,120782.0
종암동,96110.0,101636.0,90584.0,95261.0,102096.0,88426.0,76584.0,104793.0,48376.0
월곡1동,104985.0,121134.0,88837.0,94461.0,116480.0,72442.0,97314.0,124724.0,69905.0
월곡2동,102241.0,130447.0,74035.0,95284.0,128624.0,61944.0,80412.0,105528.0,55296.0
장위1동,71710.0,69506.0,73913.0,77833.0,67312.0,88354.0,71754.0,57382.0,86125.0
장위2동,77715.0,82463.0,72968.0,88883.0,110466.0,67299.0,107702.0,129361.0,86044.0
장위3동,98569.0,130696.0,66442.0,87034.0,118475.0,55592.0,89791.0,129168.0,50414.0
석관동,75510.0,107928.0,43091.0,65172.0,89221.0,41123.0,72203.0,99621.0,44785.0
강북구,90159.0,111875.0,68443.0,83872.0,104240.0,63504.0,84816.0,101756.0,67876.0
삼양동,102575.0,127132.0,78018.0,100053.0,120250.0,79855.0,90913.0,99580.0,82246.0
미아동,98973.0,114499.0,83448.0,81822.0,102191.0,61454.0,102930.0,122070.0,83790.0
송중동,102186.0,135682.0,68691.0,101906.0,133971.0,69842.0,108511.0,136793.0,80230.0
송천동,79203.0,101666.0,56741.0,73874.0,93376.0,54372.0,70876.0,92534.0,49218.0
삼각산동,146156.0,146255.0,146058.0,130121.0,115322.0,144921.0,115333.0,90482.0,140184.0
번1동,89386.0,113443.0,65329.0,85303.0,105852.0,64755.0,73495.0,82323.0,64666.0
번2동,68379.0,100615.0,36143.0,50009.0,61079.0,38939.0,55644.0,68883.0,42404.0
번3동,95233.0,152584.0,37882.0,91766.0,140925.0,42608.0,84733.0,107620.0,61845.0
수유1동,68514.0,94394.0,42634.0,73294.0,96016.0,50571.0,84823.0,93472.0,76174.0
수유2동,88446.0,107311.0,69582.0,54191.0,74801.0,33581.0,56911.0,80904.0,32918.0
수유3동,96241.0,122733.0,69749.0,91227.0,117010.0,65445.0,92962.0,119656.0,66268.0
우이동,69436.0,94902.0,43971.0,68963.0,95905.0,42021.0,64322.0,90181.0,38464.0
인수동,61785.0,76790.0,46780.0,63303.0,83950.0,42656.0,60437.0,78648.0,42226.0
도봉구,91737.0,114538.0,68936.0,102594.0,125520.0,79669.0,124755.0,146034.0,103477.0
창1동,107603.0,97460.0,117746.0,110861.0,93776.0,127946.0,96659.0,112290.0,81028.0
창2동,76331.0,98245.0,54416.0,100846.0,97784.0,103908.0,155292.0,156461.0,154124.0
창3동,70389.0,75751.0,65027.0,74367.0,87621.0,61113.0,91253.0,123449.0,59058.0
창4동,142108.0,201165.0,83052.0,146251.0,224296.0,68206.0,184477.0,268395.0,100560.0
창5동,121173.0,168273.0,74073.0,132138.0,168232.0,96044.0,177538.0,228878.0,126199.0
도봉1동,91900.0,95172.0,88627.0,64975.0,85541.0,44410.0,95156.0,115258.0,75054.0
도봉2동,78265.0,103207.0,53323.0,99061.0,128560.0,69561.0,105635.0,122548.0,88723.0
쌍문1동,71847.0,77928.0,65767.0,88401.0,97986.0,78817.0,118850.0,117534.0,120165.0
쌍문2동,86057.0,137038.0,35076.0,93141.0,145192.0,41090.0,121027.0,157938.0,84115.0
쌍문3동,107808.0,147239.0,68376.0,133035.0,193213.0,72858.0,126606.0,140229.0,112983.0
쌍문4동,93451.0,125463.0,61439.0,99578.0,114392.0,84765.0,115568.0,117379.0,113758.0
방학1동,96201.0,129297.0,63105.0,123379.0,157609.0,89149.0,147197.0,166835.0,127559.0
방학2동,75837.0,89014.0,62660.0,84746.0,95742.0,73750.0,86530.0,109445.0,63614.0
방학3동,74211.0,84223.0,64199.0,87355.0,90580.0,84130.0,101421.0,115860.0,86982.0
노원구,121581.0,141373.0,101788.0,123834.0,142046.0,105622.0,116570.0,139243.0,93897.0
월계1동,84583.0,104380.0,64787.0,141701.0,139603.0,143800.0,132328.0,153597.0,111059.0
월계2동,135292.0,129650.0,140934.0,128668.0,124773.0,132563.0,127870.0,125487.0,130253.0
월계3동,78011.0,,78011.0,63948.0,,63948.0,87537.0,111334.0,63739.0
공릉1동,97539.0,115750.0,79327.0,92123.0,110768.0,73478.0,91822.0,111263.0,72380.0
공릉2동,124654.0,138712.0,110596.0,116871.0,146238.0,87504.0,110745.0,129641.0,91848.0
하계1동,88234.0,103440.0,73028.0,88553.0,120284.0,56822.0,91344.0,119141.0,63547.0
하계2동,158592.0,234426.0,82759.0,171263.0,241719.0,100806.0,105405.0,,105405.0
중계본동,115173.0,162211.0,68134.0,103273.0,132119.0,74428.0,84726.0,103769.0,65683.0
중계1동,139104.0,167121.0,111087.0,129021.0,173803.0,84238.0,139854.0,191151.0,88556.0
