행정구역,2025_1Q_전체,2025_1Q_1층,2025_1Q_1층외,2025_2Q_전체,2025_2Q_1층,2025_2Q_1층외,2025_3Q_전체,2025_3Q_1층,2025_3Q_1층외
남가좌1동,173943.0,173943.0,,151328.0,214468.0,88189.0,159421.0,222667.0,96175.0
남가좌2동,117428.0,135084.0,99772.0,125487.0,162007.0,88967.0,145153.0,177563.0,112744.0
북가좌1동,180221.0,162360.0,198082.0,169194.0,130226.0,208162.0,148407.0,117141.0,179673.0
북가좌2동,86614.0,100975.0,72252.0,93006.0,119314.0,66698.0,126780.0,145494.0,108067.0
마포구,157717.0,183573.0,131862.0,175914.0,197898.0,153930.0,186616.0,211285.0,161948.0
아현동,175520.0,234143.0,116897.0,190084.0,222597.0,157570.0,209623.0,227103.0,192143.0
공덕동,158716.0,180609.0,136823.0,162568.0,207795.0,117341.0,166204.0,217134.0,115275.0
도화동,139985.0,181974.0,97995.0,148171.0,185994.0,110349.0,165670.0,191824.0,139515.0
용강동,159877.0,208954.0,110800.0,169048.0,203830.0,134266.0,186371.0,239406.0,133336.0
대흥동,143453.0,182309.0,104597.0,159983.0,183690.0,136276.0,162061.0,184357.0,139764.0
염리동,142788.0,182256.0,103320.0,133342.0,158455.0,108229.0,146246.0,159496.0,132996.0
신수동,132062.0,123691.0,140433.0,147808.0,127176.0,168440.0,160842.0,142615.0,179069.0
서강동,152518.0,192582.0,112454.0,201985.0,236378.0,167593.0,208456.0,239505.0,177406.0
서교동,177688.0,205465.0,149910.0,192206.0,218556.0,165857.0,200767.0,231197.0,170338.0
합정동,146167.0,171740.0,120595.0,180001.0,172987.0,187015.0,189642.0,185483.0,193801.0
망원1동,151435.0,175877.0,126994.0,172781.0,194332.0,151230.0,188268.0,215774.0,160762.0
망원2동,119134.0,164829.0,73439.0,120187.0,143293.0,97081.0,127887.0,152019.0,103755.0
연남동,154397.0,182248.0,126546.0,185194.0,202626.0,167762.0,204379.0,225611.0,183146.0
성산1동,136724.0,117323.0,156125.0,156721.0,175207.0,138236.0,174166.0,204965.0,143366.0
성산2동,142932.0,150661.0,135204.0,180684.0,210935.0,150434.0,195102.0,226125.0,164078.0
상암동,172441.0,206033.0,138849.0,194015.0,238017.0,150012.0,201049.0,246377.0,155721.0
양천구,114177.0,140183.0,88170.0,120112.0,143297.0,96926.0,122846.0,144510.0,101181.0
목1동,146279.0,196308.0,96250.0,141928.0,193616.0,90239.0,151733.0,207004.0,96462.0
목2동,114388.0,120851.0,107925.0,135217.0,129014.0,141419.0,133788.0,128105.0,139470.0
목3동,107106.0,135180.0,79031.0,125727.0,138412.0,113042.0,125501.0,138005.0,112997.0
목4동,101062.0,126902.0,75221.0,113897.0,137722.0,90072.0,114086.0,129273.0,98900.0
목5동,156034.0,220956.0,91113.0,162572.0,232612.0,92532.0,171720.0,239611.0,103828.0
신월1동,89680.0,108100.0,71261.0,93910.0,132763.0,55058.0,94893.0,131777.0,58010.0
신월2동,83055.0,101292.0,64819.0,112736.0,112968.0,112505.0,111696.0,114093.0,109299.0
신월3동,63362.0,77869.0,48856.0,70186.0,83918.0,56454.0,89766.0,96581.0,82950.0
신월4동,81454.0,98109.0,64800.0,86360.0,111029.0,61691.0,104087.0,128142.0,80032.0
신월5동,75043.0,84988.0,65097.0,85215.0,84991.0,85439.0,96325.0,110969.0,81681.0
신월6동,113845.0,118761.0,108929.0,122674.0,131469.0,113880.0,133488.0,138379.0,128597.0
신월7동,79563.0,124608.0,34519.0,111840.0,107384.0,116296.0,99497.0,79177.0,119816.0
신정1동,103502.0,122513.0,84491.0,109368.0,148247.0,70488.0,115276.0,148308.0,82245.0
신정2동,135817.0,215594.0,56040.0,134605.0,197524.0,71686.0,137973.0,203761.0,72186.0
신정3동,112843.0,154513.0,71172.0,102589.0,116114.0,89064.0,117033.0,127366.0,106701.0
신정4동,128850.0,139438.0,118262.0,137486.0,137753.0,137219.0,127886.0,129919.0,125852.0
신정6동,155998.0,210670.0,101326.0,162206.0,230267.0,94145.0,161631.0,234038.0,89224.0
신정7동,124002.0,138497.0,109506.0,129772.0,164267.0,95278.0,130254.0,166822.0,93687.0
강서구,129934.0,155871.0,103998.0,132556.0,160889.0,104223.0,136254.0,165966.0,106543.0
염창동,114275.0,149969.0,78582.0,111127.0,137099.0,85156.0,134147.0,145128.0,123166.0
등촌1동,136535.0,128718.0,144351.0,134785.0,134410.0,135161.0,120490.0,130967.0,110014.0
등촌2동,123605.0,151447.0,95763.0,147554.0,190109.0,104999.0,149842.0,200553.0,99131.0
등촌3동,131753.0,163531.0,99975.0,141336.0,185014.0,97658.0,147937.0,191885.0,103988.0
화곡1동,109890.0,137291.0,82489.0,108968.0,141492.0,76443.0,116642.0,142426.0,90858.0
화곡2동,79946.0,91578.0,68313.0,94719.0,113743.0,75694.0,105882.0,117408.0,94357.0
화곡3동,107039.0,121774.0,92303.0,107683.0,136007.0,79359.0,116308.0,130000.0,102616.0
화곡4동,136291.0,132484.0,140098.0,131134.0,149291.0,112978.0,114274.0,151747.0,76801.0
화곡본동,109988.0,129499.0,90476.0,117555.0,145840.0,89270.0,111046.0,139782.0,82309.0
화곡6동,100166.0,127814.0,72518.0,112405.0,137026.0,87784.0,113630.0,139475.0,87786.0
화곡8동,142828.0,161019.0,124637.0,134022.0,177288.0,90755.0,141949.0,196300.0,87597.0
가양1동,179800.0,248232.0,111368.0,175676.0,240920.0,110432.0,185509.0,253940.0,117078.0
가양2동,93940.0,123161.0,64719.0,122710.0,160543.0,84877.0,125459.0,157875.0,93043.0
가양3동,122778.0,,122778.0,108701.0,,108701.0,133326.0,,133326.0
발산1동,140975.0,176968.0,104983.0,135617.0,171509.0,99724.0,132017.0,170197.0,93837.0
우장산동,109027.0,123937.0,94118.0,113562.0,124670.0,102455.0,135042.0,137970.0,132114.0
공항동,87209.0,96861.0,77557.0,107741.0,111194.0,104289.0,111991.0,111931.0,112050.0
방화1동,153706.0,174153.0,133259.0,146283.0,161279.0,131286.0,145191.0,171064.0,119318.0
방화2동,80865.0,80000.0,81730.0,110136.0,88194.0,132079.0,116730.0,95681.0,137778.0
방화3동,101221.0,127884.0,74558.0,96770.0,116498.0,77042.0,93472.0,122831.0,64114.0
구로구,151222.0,180909.0,121535.0,160936.0,186967.0,134904.0,159150.0,183423.0,134877.0
신도림동,144052.0,163216.0,124888.0,177485.0,192469.0,162501.0,182927.0,198210.0,167644.0
구로1동,242707.0,242707.0,,186291.0,195548.0,177035.0,196555.0,214481.0,178630.0
구로2동,127247.0,142385.0,112109.0,130395.0,150152.0,110638.0,125206.0,142192.0,108219.0
구로3동,197785.0,244498.0,151071.0,229342.0,279196.0,179488.0,233709.0,285887.0,181530.0
구로4동,165135.0,196450.0,133820.0,159479.0,211559.0,107399.0,165425.0,213842.0,117008.0
