행정구역,2023_3Q_전체,2023_3Q_1층,2023_3Q_1층외,2023_4Q_전체,2023_4Q_1층,2023_4Q_1층외,2024_1Q_전체,2024_1Q_1층,2024_1Q_1층외
중화1동,70491.0,82527.0,58456.0,67544.0,78189.0,56899.0,68281.0,81453.0,55109.0
중화2동,81474.0,103344.0,59604.0,90395.0,118966.0,61823.0,87310.0,117223.0,57397.0
묵1동,85587.0,99776.0,71398.0,103690.0,106068.0,101313.0,105998.0,111498.0,100498.0
묵2동,107369.0,91561.0,123177.0,118570.0,95007.0,142132.0,121718.0,92461.0,150974.0
망우본동,87039.0,103347.0,70730.0,90041.0,109946.0,70135.0,87688.0,110766.0,64610.0
망우3동,52710.0,66696.0,38724.0,57879.0,70528.0,45230.0,60468.0,69153.0,51782.0
신내1동,95937.0,116608.0,75265.0,93309.0,114133.0,72486.0,89292.0,110909.0,67676.0
신내2동,123747.0,125244.0,122251.0,115284.0,114842.0,115726.0,120281.0,124335.0,116226.0
성북구,106443.0,126727.0,86159.0,111041.0,127310.0,94771.0,111551.0,126422.0,96680.0
성북동,87256.0,123206.0,51307.0,96054.0,125667.0,66441.0,98197.0,108697.0,87697.0
삼선동,99189.0,142988.0,55391.0,109637.0,139788.0,79487.0,111590.0,141436.0,81743.0
동선동,146005.0,146293.0,145717.0,149539.0,150819.0,148259.0,148701.0,149039.0,148363.0
돈암1동,,,,,,,,,
돈암2동,83309.0,,83309.0,124780.0,,124780.0,115058.0,,115058.0
안암동,96709.0,124280.0,69139.0,89294.0,124517.0,54071.0,90074.0,124117.0,56032.0
보문동,76677.0,103291.0,50062.0,78018.0,104757.0,51279.0,78863.0,105987.0,51739.0
정릉1동,94125.0,98179.0,90071.0,94586.0,99101.0,90071.0,101014.0,99423.0,102606.0
정릉2동,134257.0,98710.0,169804.0,133302.0,96801.0,169804.0,171016.0,111211.0,230821.0
정릉3동,88495.0,88495.0,,82480.0,82480.0,,105891.0,105891.0,
정릉4동,91026.0,122691.0,59361.0,86993.0,117434.0,56552.0,69090.0,97488.0,40692.0
길음1동,147683.0,153324.0,142041.0,156037.0,161481.0,150592.0,146742.0,169384.0,124099.0
길음2동,160011.0,209664.0,110359.0,160049.0,185462.0,134635.0,144551.0,165697.0,123405.0
종암동,77065.0,103903.0,50227.0,87423.0,119587.0,55260.0,87773.0,116833.0,58714.0
월곡1동,92721.0,124428.0,61014.0,83937.0,117165.0,50709.0,91611.0,126996.0,56225.0
월곡2동,81091.0,103208.0,58975.0,80149.0,102365.0,57934.0,84914.0,115762.0,54065.0
