연도,분기,구이름,행정동_코드,행정동_코드_명,소비점수,생산점수,인구점수,지역경제활력점수,지역경제활력점수_T
2020,1,중구,11140520,소공동,6.424080972519391,0.19681093256606874,0.2320731458446934,2.2843216836433844,72.84321683643384
2020,1,중구,11140540,회현동,3.916404338970124,1.1768472043453595,0.2558263431945426,1.7830259621700089,67.8302596217001
2020,1,중구,11140550,명동,1.084622159466555,0.9209133976994598,0.988444214463538,0.9979932572098509,59.979932572098505
2020,1,중구,11140570,필동,-0.22799001288696036,-0.5162602340909129,-1.0170690430661506,-0.5871064300146747,44.12893569985325
2020,1,중구,11140580,장충동,-0.31380712084800017,-0.44556460970196476,-1.0680268760994096,-0.6091328688831249,43.90867131116875
2020,1,중구,11140590,광희동,0.3935464700379768,1.55162559812656,0.10030702870683668,0.6818263656237913,56.81826365623791
2020,1,중구,11140605,을지로동,1.018527010518279,0.19137545572689196,-0.7361403041712175,0.15792072069131782,51.579207206913175
2020,1,중구,11140615,신당동,-0.06063904315525043,5.536648900497518,-0.5781102714988126,1.6326331952811517,66.32633195281151
2020,1,중구,11140625,다산동,-0.20776804980922473,-0.5488248756418134,-0.47765656683417684,-0.41141649742840497,45.88583502571595
2020,1,중구,11140635,약수동,-0.16927633399645894,-0.631079209104986,-0.4843669972414295,-0.42824084678095814,45.71759153219042
2020,1,중구,11140645,청구동,-0.3055233576394026,-0.6073103360443274,-0.6411008268195647,-0.5179781735010982,44.820218264989016
2020,1,중구,11140650,신당5동,-0.29055888151878134,-0.25633225549361094,-0.7067590428039269,-0.4178833932721064,45.82116606727894
2020,1,중구,11140665,동화동,-0.3040339644221128,-0.4728822181093643,-0.8448446938249802,-0.5405869587854858,44.59413041214514
2020,1,중구,11140670,황학동,-0.16452092016121364,-0.2533402931125898,-0.4563451781541386,-0.2914021304759807,47.08597869524019
2020,1,중구,11140680,중림동,-0.24219878381262572,-0.6012015540792081,-0.849630600019483,-0.564343645970439,44.35656354029561
2020,1,용산구,11170510,후암동,-0.2820386901808177,-0.12199743459387936,-0.38578496409117874,-0.26327369628862524,47.367263037113744
2020,1,용산구,11170520,용산2가동,0.21165759765970713,-0.44915623604628224,-0.6728383025018855,-0.3034456469628202,46.9655435303718
2020,1,용산구,11170530,남영동,0.12136483266240089,-0.35175561458972077,-0.8095685390567642,-0.3466531069946947,46.533468930053054
2020,1,용산구,11170555,청파동,-0.22368640736497925,-0.15695460475505194,0.07421329205938199,-0.10214257335354975,48.978574266464506
2020,1,용산구,11170560,원효로1동,0.8914171217510907,-0.36120029346045707,-0.40350501822848844,0.04223727002071507,50.42237270020715
2020,1,용산구,11170570,원효로2동,0.5524894239455439,-0.5878983051349492,-0.6226578644038773,-0.21935558186442752,47.80644418135572
2020,1,용산구,11170580,효창동,-0.34449392325258993,-0.2632519169716926,-0.7990881287522847,-0.4689446563255224,45.310553436744776
2020,1,용산구,11170590,용문동,-0.2967049025423796,-0.6114939962155894,-0.7565965952260871,-0.5549318313280187,44.45068168671981
2020,1,용산구,11170625,한강로동,5.470040393021217,1.0981766291099517,0.2708619675420147,2.2796929965577277,72.79692996557728
2020,1,용산구,11170630,이촌1동,-0.19712346013398585,-0.5022387077624214,0.016202819867714702,-0.22771978267623086,47.72280217323769
2020,1,용산구,11170640,이촌2동,-0.37417370436227415,-0.7065896041430179,-1.0352570469269344,-0.7053401184774089,42.94659881522591
2020,1,용산구,11170650,이태원1동,0.05836272743013644,-0.287468197703199,-0.7223920148910109,-0.3171658283880245,46.82834171611975
2020,1,용산구,11170660,이태원2동,-0.3297607490789106,-0.25121216225685433,-0.868570950266987,-0.48318128720091735,45.16818712799083
2020,1,용산구,11170685,한남동,0.08667854973233775,0.8327933885722612,0.4786497620960526,0.46604056680021716,54.66040566800217
2020,1,용산구,11170690,서빙고동,-0.38117569995433376,-0.45440268937955447,-0.7324288954667934,-0.5226690949335605,44.773309050664395
2020,1,용산구,11170700,보광동,-0.28135379506714475,-0.20126893870582174,-0.5364772259743912,-0.3396999865824526,46.603000134175474
2020,1,성동구,11200520,왕십리2동,-0.3418029474017209,-0.654417900931941,-0.3709558389038757,-0.4557255624125125,45.442744375874874
